Activity_acc,org:resource_acc,impact_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5564102530479431,0.04843304678797722,0.7958656549453735,0.6569148898124695,0.760869562625885,0.4916067123413086,0.7680000066757202,0.11229946464300156,0.2719999849796295,0.6803069114685059,0.024284496903419495,25.50326932966709,0.02853723242878914
0.5307692289352417,0.03988603875041008,0.7906976938247681,0.646276593208313,0.6929348111152649,0.4700239896774292,0.7893333435058594,0.17379678785800934,0.2773333191871643,0.7084398865699768,0.018375386483967304,25.191980679519475,0.021785371005535126
0.5307692289352417,0.028490029275417328,0.7958656549453735,0.6515957117080688,0.7255434989929199,0.5011990666389465,0.7493333220481873,0.1256684511899948,0.2639999985694885,0.687979519367218,0.019488072954118252,25.845326638780534,0.023214401677250862
0.5410256385803223,0.025641025975346565,0.6408268809318542,0.6489361524581909,0.7554348111152649,0.5035971403121948,0.7733333110809326,0.15775401890277863,0.20800000429153442,0.6726342439651489,0.01203525485470891,25.419011418242007,0.014730485156178474
0.5641025900840759,0.05128205195069313,0.7958656549453735,0.6489361524581909,0.6711956858634949,0.486810564994812,0.7759999632835388,0.15240642428398132,0.25599998235702515,0.7314577698707581,0.025019604712724686,25.075993556529284,0.026739653199911118
0.5538461804389954,0.054131053388118744,0.7984496355056763,0.6542552709579468,0.6711956858634949,0.49640288949012756,0.7306666374206543,0.0935828909277916,0.2693333327770233,0.710997462272644,0.028741206042468548,25.214206154458225,0.03094431385397911
0.5384615659713745,0.022792022675275803,0.7932816743850708,0.6489361524581909,0.7472826242446899,0.4892086386680603,0.7493333220481873,0.14438502490520477,0.226666659116745,0.6547314524650574,0.01847249176353216,25.339110269211233,0.02024173177778721
0.5564102530479431,0.05128205195069313,0.7932816743850708,0.6382978558540344,0.758152186870575,0.47961631417274475,0.7839999794960022,0.05614973232150078,0.2666666507720947,0.7186700701713562,0.020614215172827244,25.692634620703757,0.022982774302363396
0.5512820482254028,0.056980058550834656,0.7932816743850708,0.6489361524581909,0.6086956858634949,0.5011990666389465,0.781333327293396,0.14973261952400208,0.25599998235702515,0.6419437527656555,0.032457283698022366,25.511304101906717,0.03640928119421005
0.5153846144676208,0.06267806142568588,0.7932816743850708,0.6436169743537903,0.679347813129425,0.48201438784599304,0.7599999904632568,0.15240642428398132,0.2639999985694885,0.6930946111679077,0.013662931509315968,25.273128864355385,0.016809388995170593
