Activity_acc,org:resource_acc,impact_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5174672603607178,0.06666666269302368,1.0,0.5043668150901794,0.9232456088066101,0.7079107165336609,0.971615731716156,0.16592919826507568,0.4344978332519531,0.7641921639442444,0.03240404836833477,20.66543832793832,0.03340904042124748
0.5021834373474121,0.08275862038135529,1.0,0.5021834373474121,0.9188596606254578,0.7058823108673096,0.971615731716156,0.27212390303611755,0.4126637578010559,0.807860255241394,0.028748974204063416,19.638363388366997,0.02927868813276291
0.5152838230133057,0.08045977354049683,1.0,0.5043668150901794,0.9100877046585083,0.6977687478065491,0.971615731716156,0.19911503791809082,0.36899563670158386,0.7467249035835266,0.02840388659387827,20.724978148005903,0.02926722913980484
0.5174672603607178,0.062068965286016464,0.7860262393951416,0.5196506381034851,0.9078947305679321,0.7160243391990662,0.971615731716156,0.2654867172241211,0.3646288216114044,0.7772926092147827,0.02064105961471796,20.626722150482237,0.020788684487342834
0.528384268283844,0.08965517580509186,1.0,0.5087336301803589,0.9232456088066101,0.7160243391990662,0.971615731716156,0.25221237540245056,0.4017467200756073,0.7947598099708557,0.03201303072273731,19.67351399641484,0.03176563233137131
0.5262008905410767,0.09885057806968689,1.0,0.5087336301803589,0.9254385828971863,0.7281947135925293,0.971615731716156,0.1592920422554016,0.38646289706230164,0.7925764322280884,0.0353245735168457,20.299721404910088,0.0353880301117897
0.510917067527771,0.050574712455272675,1.0,0.49563318490982056,0.9232456088066101,0.7281947135925293,0.971615731716156,0.25221237540245056,0.3537117838859558,0.77947598695755,0.0190250426530838,20.05588646698743,0.01944620907306671
0.5305677056312561,0.08965517580509186,1.0,0.5021834373474121,0.9254385828971863,0.703853964805603,0.971615731716156,0.0796460211277008,0.3820960819721222,0.7969432473182678,0.029336856678128242,20.654895051382482,0.029733961448073387
0.528384268283844,0.10804598033428192,1.0,0.5065502524375916,0.9078947305679321,0.726166307926178,0.971615731716156,0.2544247806072235,0.375545859336853,0.7925764322280884,0.0415197666734457,20.619640616700053,0.04248923063278198
0.4912663698196411,0.12183907628059387,1.0,0.5131004452705383,0.9254385828971863,0.7119675278663635,0.971615731716156,0.27654868364334106,0.37991267442703247,0.790393054485321,0.02148446347564459,19.86451241094619,0.02175348624587059
