Activity_acc,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7444076538085938,1.0,0.9997397065162659,0.014728195983671435,0.8424980642494598,0.015096670016646385
0.7410016059875488,1.0,0.9997397065162659,0.014315869695948143,0.8445266870211957,0.014682812616229057
0.7373654246330261,1.0,0.9997830986976624,0.014549759749666248,0.8646462464607075,0.014917920343577862
0.746432900428772,1.0,0.9998264908790588,0.01394785344478135,0.831103747882145,0.01430588960647583
0.7557305097579956,1.0,0.9997397065162659,0.013920608846666781,0.8211163992910817,0.014281698502600193
0.7411396503448486,1.0,0.9996963143348694,0.014920830665352313,0.8467011208505075,0.01528888288885355
0.7452361583709717,1.0,0.9996963143348694,0.013956134611936776,0.8413261224141981,0.014316382817924023
0.7522323727607727,1.0,0.9997830986976624,0.013977911219147867,0.8328453498573876,0.014334507286548615
0.7508515119552612,1.0,0.9996095299720764,0.013905161507672778,0.840467966373054,0.014259387739002705
0.7516340017318726,1.0,0.9998264908790588,0.014977376448529723,0.8519506347074639,0.015346819534897804
