Activity_acc,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5028616786003113,1.0,0.9941831231117249,0.015983295050988857,1.4273869660529799,0.01646324433386326
0.4968339204788208,1.0,0.9941831231117249,0.0152223873944757,1.4044906155016321,0.015693046152591705
0.49458110332489014,1.0,0.9941831231117249,0.015099092594985115,1.4203338352626336,0.015561914071440697
0.5047491788864136,1.0,0.9941831231117249,0.01515710308510614,1.41153394066312,0.015622064471244812
0.4935460388660431,1.0,0.9941831231117249,0.015214585619488437,1.4235730661342754,0.01568497344851494
0.49171945452690125,1.0,0.9940733909606934,0.015181475410875129,1.4058959755746305,0.015649644657969475
0.49598148465156555,1.0,0.9928661584854126,0.01519762456882745,1.4192285804923526,0.015668123960494995
0.495433509349823,1.0,0.9942929148674011,0.015118353693795047,1.4108475135198157,0.015579292550683022
0.49817341566085815,1.0,0.9931405186653137,0.015124237832711324,1.4291034953540045,0.015590391121804714
0.49062347412109375,1.0,0.9929758906364441,0.015129728003797171,1.4552623369780027,0.015596922487020493
