Activity_acc,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6420577168464661,0.9163796901702881,0.8440253734588623,0.01221619898110236,1.680942175015317,0.012432432733476162
0.6413581967353821,0.9163796901702881,0.8433818221092224,0.011769926040678433,1.6483593241581203,0.011974308639764786
0.640389621257782,0.9163796901702881,0.8617958426475525,0.011783296346517378,1.660790811642073,0.011979793198406696
0.64178866147995,0.9163796901702881,0.8440253734588623,0.011800918924181085,1.6598876008861942,0.011999815702438354
0.6413581967353821,0.9163796901702881,0.8440253734588623,0.01168420991100567,1.662687057745643,0.011889897286891937
0.6414119601249695,0.9163796901702881,0.8617463707923889,0.01177033807126511,1.6392954139492328,0.011972888372838497
0.6405510306358337,0.9163796901702881,0.8608553409576416,0.011857420089654624,1.6572576618912678,0.01206303108483553
0.6415196061134338,0.9163796901702881,0.8617958426475525,0.01175697033881749,1.6548199779476578,0.011951067484915257
0.6416810154914856,0.9163796901702881,0.8603108525276184,0.011781306532946857,1.673162957445081,0.011981653980910778
0.6385600566864014,0.9163796901702881,0.8602118492126465,0.011777724439621363,1.6962356323829706,0.01197859924286604
