Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9676733016967773,0.989578902721405,0.9113143086433411,0.7526584267616272,0.906848132610321,1.0,0.03998298570513725,0.008172973863441835,0.09446643021973697,11.853020033968443,0.007895410992205143,0.09445499628782272
0.9717141389846802,0.9885154962539673,0.9174818992614746,0.7535091638565063,0.9457677602767944,1.0,0.03998298570513725,0.006283296864818443,0.051820054311643944,11.26633164179723,0.006112074479460716,0.05200216919183731
0.9685240387916565,0.9931944012641907,0.926201581954956,0.7545725107192993,0.9164185523986816,1.0,0.03998298570513725,0.006984869483858347,0.2025621316649697,11.52320891184817,0.006746160797774792,0.20282138884067535
0.9670352935791016,0.9912803173065186,0.9330072402954102,0.7539345026016235,0.938111424446106,1.0,0.03998298570513725,0.007941730701449242,0.3005396696654233,11.716116670032285,0.007708707824349403,0.30084800720214844
0.9797958135604858,0.9934070706367493,0.9385367631912231,0.7569119334220886,0.9364100098609924,1.0,0.03998298570513725,0.007919628300111402,0.13282245600765402,11.673435278406197,0.007777606137096882,0.13290496170520782
0.9447043538093567,0.99106764793396,0.9317311644554138,0.7549978494644165,0.908336877822876,1.0,0.03998298570513725,0.007419184019619768,0.08985059843821959,11.822287279054184,0.007138093467801809,0.08967588096857071
0.9615057110786438,0.9880901575088501,0.8908974528312683,0.7526584267616272,0.9308804869651794,1.0,0.03998298570513725,0.006629458205266433,0.11525852639566768,11.786938345229084,0.006445151288062334,0.1154998317360878
0.9646958708763123,0.9931944012641907,0.9240748286247253,0.7526584267616272,0.8977031111717224,1.0,0.03998298570513725,0.007260939741337841,0.07740534435619008,11.609427157577805,0.007101568393409252,0.07770023494958878
0.971288800239563,0.989578902721405,0.9327945709228516,0.7526584267616272,0.947043776512146,1.0,0.03998298570513725,0.0076862260783937845,0.05530557781457901,11.578750365879387,0.007429264951497316,0.055315569043159485
0.9636324644088745,0.9904295802116394,0.9357720017433167,0.7530837655067444,0.9438536763191223,1.0,0.03998298570513725,0.0073916757563975725,0.0644322396679358,11.626479236684231,0.007122344803065062,0.06456592679023743
