Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9313784837722778,0.9860943555831909,0.873941957950592,0.75,0.88573157787323,1.0,0.03174123540520668,0.007622171108695594,0.06230922212654894,12.194177525329657,0.007670466788113117,0.06250755488872528
0.9313784837722778,0.9860943555831909,0.895405113697052,0.75,0.8941959142684937,1.0,0.03174123540520668,0.006366837600415403,0.0647557716478001,12.0702968232376,0.006329766009002924,0.06512635946273804
0.9313784837722778,0.9860943555831909,0.8672914505004883,0.75,0.8905683755874634,1.0,0.03174123540520668,0.007606128061359579,0.03168098560788415,12.165237962268293,0.0075979833491146564,0.03192538395524025
0.92684406042099,0.9863966703414917,0.7917170524597168,0.7521160840988159,0.8811971545219421,1.0,0.03174123540520668,0.006836395160379735,0.0864290486682545,12.382609218570657,0.006702642422169447,0.08666065335273743
0.9310762286186218,0.9860943555831909,0.8733373880386353,0.7521160840988159,0.8811971545219421,1.0,0.03174123540520668,0.0064075658605857325,0.12666144967079163,12.29035207438706,0.0063412669114768505,0.12696978449821472
0.9265417456626892,0.9860943555831909,0.8515719771385193,0.75,0.9123337864875793,1.0,0.03174123540520668,0.008324915458532896,0.04281927594407038,12.011285932057284,0.008148984983563423,0.04311196506023407
0.92684406042099,0.9860943555831909,0.9147521257400513,0.7521160840988159,0.9217050075531006,1.0,0.03174123540520668,0.0072894083251329985,0.046345522457903084,11.921802632172,0.007339694537222385,0.046519894152879715
0.92684406042099,0.9860943555831909,0.8473398089408875,0.75,0.8872430920600891,1.0,0.03174123540520668,0.012629997535524044,0.0437428124926307,12.199994711798023,0.012834500521421432,0.04387830197811127
0.9265417456626892,0.9857920408248901,0.8458282947540283,0.75,0.9059855341911316,1.0,0.03174123540520668,0.01884152621708133,0.10132989693771709,12.267078164880248,0.019035950303077698,0.10156650841236115
0.9265417456626892,0.9842805862426758,0.8694075345993042,0.7506046295166016,0.9183797240257263,1.0,0.03174123540520668,0.006307228002697229,0.03191837668418884,12.151893264360048,0.006262145936489105,0.032174378633499146
