org:resource_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.8661819696426392,0.8438341021537781,0.5662358403205872,0.752896785736084,0.5907377004623413,0.9189552664756775,0.04132695868611336,0.008071675515648994,75.66053945367986,90.27152948923917,0.007846368476748466,73.9412612915039
0.8801830410957336,0.8432955741882324,0.5621970891952515,0.752896785736084,0.5953149795532227,0.9189552664756775,0.04132695868611336,0.007774297867647626,84.16545070301403,98.71367692308162,0.007520070765167475,82.56086730957031
0.8677974939346313,0.8400645852088928,0.5665050745010376,0.752896785736084,0.5694668292999268,0.9189552664756775,0.04132695868611336,0.0080766739662398,76.5254617170854,91.17179608014835,0.007851735688745975,74.7220687866211
0.8801830410957336,0.8457188606262207,0.5533117651939392,0.752896785736084,0.5810446739196777,0.9189552664756775,0.04132695868611336,0.008037121585485611,80.33752198652788,95.09472119549967,0.0078091747127473354,78.72410583496094
0.8850295543670654,0.8387182950973511,0.5673128366470337,0.752896785736084,0.6025847792625427,0.9229940176010132,0.04132695868611336,0.008175155444240028,81.5530294938521,96.22154713129963,0.007957146503031254,79.88307189941406
0.8688744902610779,0.8376412987709045,0.5223478674888611,0.752896785736084,0.5842756628990173,0.9038771986961365,0.04132695868611336,0.007782381112602624,81.46568818525834,96.43748343033208,0.007516654208302498,79.86065673828125
0.8325255513191223,0.8403338193893433,0.5175012946128845,0.752896785736084,0.5619277954101562,0.9229940176010132,0.04132695868611336,0.007762433283708312,80.03303527832031,95.08420670015568,0.00750602874904871,78.3721694946289
0.8850295543670654,0.8489498496055603,0.5662358403205872,0.752896785736084,0.6031233072280884,0.9229940176010132,0.04132695868611336,0.007908267942680553,78.71386337280273,93.41636195867746,0.007669678423553705,76.93822479248047
0.8850295543670654,0.8107161521911621,0.5506192445755005,0.752896785736084,0.6087775826454163,0.9189552664756775,0.04132695868611336,0.007780569478530775,73.6089193170721,88.25470448416573,0.00751502625644207,71.89137268066406
0.8850295543670654,0.8419493436813354,0.5858911871910095,0.752896785736084,0.5823909044265747,0.9189552664756775,0.04132695868611336,0.007804105142978105,76.79837833751331,91.39537880087101,0.0075546675361692905,75.03559875488281
