org:resource_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9493832588195801,0.8334751129150391,0.8619736433029175,0.7526584267616272,0.8947256207466125,1.0,0.03998298570513725,0.008958014617250725,0.10016698796640743,12.289123414295979,0.008719726465642452,0.10057321190834045
0.9493832588195801,0.8309230208396912,0.8653764128684998,0.7526584267616272,0.887494683265686,1.0,0.03998298570513725,0.008918265388770536,0.0856304368512197,12.153761755675077,0.008621564134955406,0.08617667853832245
0.9493832588195801,0.8334751129150391,0.8513398766517639,0.7526584267616272,0.8915355205535889,1.0,0.03998298570513725,0.008898362813686783,0.05956711349162189,12.169027601665055,0.008651676587760448,0.06001245975494385
0.9493832588195801,0.8500638008117676,0.8402807116508484,0.7526584267616272,0.873670756816864,1.0,0.03998298570513725,0.008794787847860292,0.09711996940049258,12.28414997949519,0.008518198505043983,0.09770889580249786
0.9493832588195801,0.8500638008117676,0.8668651580810547,0.7526584267616272,0.8908974528312683,1.0,0.03998298570513725,0.008841811340640892,0.07785694978453896,12.254029089161618,0.00858494732528925,0.0782611146569252
0.9493832588195801,0.8500638008117676,0.8524032235145569,0.7526584267616272,0.8845171928405762,1.0,0.03998298570513725,0.008832331916148012,0.0698789270086722,12.205305626658214,0.008572977967560291,0.07043168693780899
0.9493832588195801,0.8334751129150391,0.8426201343536377,0.7526584267616272,0.878562331199646,1.0,0.03998298570513725,0.008943618867884983,0.02788211362944408,12.263971479694275,0.008645661175251007,0.0282619446516037
0.9493832588195801,0.8500638008117676,0.8400680422782898,0.7526584267616272,0.8981284499168396,1.0,0.03998298570513725,0.008931345264004036,0.060140578245574776,12.185000016311692,0.008689377456903458,0.060502663254737854
0.9493832588195801,0.8500638008117676,0.872607409954071,0.7526584267616272,0.8847299218177795,1.0,0.03998298570513725,0.008818799883804539,0.05944644422693686,12.141278271902014,0.008533008396625519,0.05974201858043671
0.9493832588195801,0.8334751129150391,0.8400680422782898,0.7526584267616272,0.8866439461708069,1.0,0.03998298570513725,0.00884707843546163,0.09046034311706369,12.271307562435554,0.008591423742473125,0.090999074280262
