Activity_acc,org:resource_acc,concept:name_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.8885769248008728,0.7048181295394897,0.8795788288116455,0.007297882122830266,0.026357830546441533,2.4921567010959342,0.007302486803382635,0.02629072777926922
0.8918634057044983,0.719687283039093,0.8881620764732361,0.008854797154310205,0.03323461452410335,2.4678893789560314,0.008867637254297733,0.033204346895217896
0.8891512155532837,0.718474805355072,0.8823229074478149,0.008660939876877126,0.012493071146309376,2.4642110769415186,0.00870900135487318,0.012372326105833054
0.8748564124107361,0.7075303196907043,0.8796107172966003,0.008528036730630057,0.027499034202524593,2.5731493233747424,0.00853957049548626,0.027412056922912598
0.8890554904937744,0.719687283039093,0.8924697041511536,0.012337729778318178,0.015136263776747953,2.407605042370657,0.01242014393210411,0.014987749047577381
0.8889917135238647,0.7221442461013794,0.8862795233726501,0.00914154521056584,0.016481970392522357,2.435659249268827,0.009144040755927563,0.01635066419839859
0.8785577416419983,0.7118698358535767,0.8796107172966003,0.016236743313216027,0.011711486970030126,2.4846736218868974,0.01630368083715439,0.011575921438634396
0.8928844928741455,0.698947012424469,0.8868219256401062,0.01692464246991135,0.02141017732875688,2.5687208405385413,0.016956832259893417,0.021160418167710304
0.8822910189628601,0.7155073285102844,0.8815252184867859,0.007572596072263661,0.03377242208946319,2.5261730588750826,0.0075708553194999695,0.0336124487221241
0.8902361392974854,0.7203254699707031,0.8870453238487244,0.021519856970934642,0.03375511226199922,2.4519072418056784,0.021661294624209404,0.03364011272788048
