Activity_acc,org:resource_acc,concept:name_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.7918344140052795,0.6885852217674255,0.7717457413673401,0.005611705416370006,0.08978959279400962,3.037884706320862,0.005654581822454929,0.08813294768333435
0.7716644406318665,0.6867959499359131,0.7686551809310913,0.005641237433467593,0.09391050785779953,3.066245104053191,0.0057348087430000305,0.09226249158382416
0.7822374105453491,0.6735391020774841,0.7759342789649963,0.0049492681088546915,0.09658197136152358,3.133543905025969,0.004996317904442549,0.09493605047464371
0.7856939435005188,0.6884632706642151,0.7765849232673645,0.005735141313856556,0.09595287910529546,3.0465448003350977,0.005796427372843027,0.09417615085840225
0.7795128226280212,0.6773616075515747,0.7682485580444336,0.006436033174395561,0.08689562160344351,3.135847564165791,0.006506327539682388,0.08518344163894653
0.7743889689445496,0.6786222457885742,0.7730470299720764,0.00715143641545659,0.09496040110077177,3.09241318117295,0.0072268531657755375,0.09332173317670822
0.7874832153320312,0.6817534565925598,0.7830100059509277,0.00523685451064791,0.0860661913951238,3.036638181479204,0.005280975718051195,0.08434990793466568
0.7837826609611511,0.6848440170288086,0.7649546265602112,0.008002413392421744,0.09158425068571455,3.0575075900359523,0.008089154958724976,0.08981365710496902
0.7830507159233093,0.6843560338020325,0.7770729064941406,0.0047540629748255014,0.08914420860154289,3.0965142200944857,0.004810384940356016,0.08745303750038147
0.7839453220367432,0.6615834832191467,0.7621893882751465,0.004441149377574523,0.08321466598482359,3.1824620536617223,0.004505425691604614,0.08149707317352295
