Activity_acc,org:resource_acc,concept:name_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.845130443572998,0.713209331035614,0.8284680843353271,0.004611858333061848,0.009624042681285314,2.8020004928444644,0.004627970512956381,0.009646797552704811
0.8384568691253662,0.7083010077476501,0.8257125616073608,0.005199407814957556,0.01196749366465069,2.882884856058462,0.00527377100661397,0.011973880231380463
0.839188814163208,0.699560821056366,0.8286833167076111,0.003973974535862605,0.01761871123952525,2.946017965585703,0.003998957108706236,0.017657076939940453
0.8393610119819641,0.7076551914215088,0.8268750309944153,0.0048764982438158425,0.018136334383771532,2.848345250002153,0.004910901188850403,0.018111469224095345
0.8272194862365723,0.695685863494873,0.8307499885559082,0.005592076706566981,0.006398831782419057,2.966299436764703,0.005629922728985548,0.006372265517711639
0.8382846713066101,0.7016705274581909,0.832687497138977,0.006629123263770626,0.013923374359451589,2.9072330836206675,0.006668739020824432,0.01394437812268734
0.8424609899520874,0.7048996686935425,0.8380263447761536,0.004122919103662882,0.005585453650426297,2.8159914493582967,0.004150166641920805,0.005596571136265993
0.8414276838302612,0.7075260281562805,0.8258847594261169,0.007490024037126984,0.012751728163233824,2.8425553674543544,0.0075481850653886795,0.012745846062898636
0.8412123918533325,0.7061482667922974,0.832902729511261,0.003856496231275655,0.008798459633475258,2.8913339546415955,0.0038860696367919445,0.008818750269711018
0.8381985425949097,0.6796693205833435,0.8223111629486084,0.0036433638916129156,0.002670540241524577,3.0066919167903032,0.0036871263291686773,0.002652294933795929
