org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.996597170829773,0.9834113121032715,0.9855380654335022,0.9134410619735718,0.7537218332290649,0.932156503200531,1.0,0.03998298570513725,0.007026876830919223,11.567127445225857,0.006793397944420576
0.996597170829773,0.9361973404884338,0.9721394777297974,0.9391748309135437,0.7528710961341858,0.9325818419456482,1.0,0.03998298570513725,0.006648180667649616,11.373380991249261,0.0064574177376925945
0.9963845014572144,0.9838366508483887,0.9853253960609436,0.9236494898796082,0.75669926404953,0.9374734163284302,1.0,0.03998298570513725,0.006853260269219225,11.62958658253774,0.006658592261373997
0.9972352385520935,0.9738408923149109,0.9800084829330444,0.9270523190498352,0.7552105188369751,0.9272649884223938,1.0,0.03998298570513725,0.006897040939127857,11.450825339416042,0.006650449242442846
0.9995746612548828,0.9734155535697937,0.9727775454521179,0.9332199096679688,0.7562739253044128,0.941514253616333,1.0,0.03998298570513725,0.0071604034694081,11.355260972399265,0.007037792820483446
0.9980859160423279,0.9685240387916565,0.9849000573158264,0.9257762432098389,0.7530837655067444,0.9502339363098145,1.0,0.03998298570513725,0.007733073635873469,11.311444571580399,0.007619503885507584
0.996597170829773,0.9717141389846802,0.9751169681549072,0.9406635165214539,0.7526584267616272,0.9538494348526001,1.0,0.03998298570513725,0.007218481337820942,11.310153239364313,0.007095457054674625
0.9980859160423279,0.9736282229423523,0.986176073551178,0.9259889125823975,0.7526584267616272,0.9102509617805481,1.0,0.03998298570513725,0.006573579020120881,11.637547672302885,0.006388051901012659
0.9963845014572144,0.9804338216781616,0.985112726688385,0.9236494898796082,0.7545725107192993,0.9495959281921387,1.0,0.03998298570513725,0.01273920497095043,11.501532754331658,0.012895522639155388
0.9982985854148865,0.9289664030075073,0.9859634041786194,0.9302424192428589,0.7526584267616272,0.936622679233551,1.0,0.03998298570513725,0.006756141104481437,11.469698548359288,0.006545171607285738
