org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.9935570359230042,0.9429024457931519,0.9647402167320251,0.7919463515281677,0.7598052024841309,0.8374331593513489,0.9624285697937012,0.038687970489263535,0.005995571740310301,12.624204443386672,0.005841368809342384
0.9790604114532471,0.9040443897247314,0.9390244483947754,0.8276510238647461,0.7592642307281494,0.8481283783912659,0.9632453322410583,0.038687970489263535,0.0062025920064611864,12.611478217877448,0.0060941921547055244
0.9884563684463501,0.9468675255775452,0.9626193642616272,0.8099328875541687,0.758723258972168,0.8366310596466064,0.9793084859848022,0.038687970489263535,0.006364341105588458,12.583450006363405,0.006226002238690853
0.9903355836868286,0.9399946928024292,0.9565218091011047,0.8005369305610657,0.7600756883621216,0.8465240597724915,0.9637898802757263,0.038687970489263535,0.0056855369740250435,12.492765129565008,0.00551646901294589
0.9884563684463501,0.9439597725868225,0.9628844857215881,0.8303355574607849,0.7584527730941772,0.8574866652488708,0.9754968881607056,0.038687970489263535,0.006840176118368452,12.36011530738324,0.00674540176987648
0.978255033493042,0.9288923740386963,0.9557264447212219,0.8166443109512329,0.7598052024841309,0.8703208565711975,0.9763136506080627,0.038687970489263535,0.00783545049754056,12.40544389611618,0.007777554914355278
0.9860402941703796,0.9373512864112854,0.9612938165664673,0.834899365901947,0.7589937448501587,0.8513368964195251,0.9684182405471802,0.038687970489263535,0.007679756603796373,12.577475321944803,0.0076081277802586555
0.9868456721305847,0.8887126445770264,0.9517498016357422,0.7868456244468689,0.7592642307281494,0.7962567210197449,0.9765859246253967,0.03560414910316467,0.006190644280815666,12.80577100817622,0.006069919094443321
0.9903355836868286,0.9476605653762817,0.9679215550422668,0.7879194617271423,0.7598052024841309,0.8596256971359253,0.9779472351074219,0.038687970489263535,0.016088706779886375,12.605179315686904,0.016243163496255875
0.9852349162101746,0.909331202507019,0.9371686577796936,0.8120805621147156,0.758723258972168,0.8352941274642944,0.9812142848968506,0.038687970489263535,0.006198648575016044,12.62042819086293,0.0060372184962034225
