org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.999697744846344,0.9265417456626892,0.9836759567260742,0.8195284605026245,0.75,0.8545949459075928,1.0,0.03174123540520668,0.006462550087069923,12.367993425196884,0.006463709287345409
1.0,0.92684406042099,0.9857920408248901,0.8201330304145813,0.7515115141868591,0.9223095774650574,1.0,0.03174123540520668,0.006491920529780063,12.209264811340041,0.006434112321585417
1.0,0.92684406042099,0.9863966703414917,0.8594316840171814,0.7542321681976318,0.9020556807518005,1.0,0.03174123540520668,0.005661905997178771,12.172630318736827,0.005533663090318441
0.999697744846344,0.9283555150032043,0.9863966703414917,0.8920798301696777,0.7521160840988159,0.8851270079612732,1.0,0.03174123540520668,0.006190073845738714,12.0527119317346,0.006080116610974073
1.0,0.9229142069816589,0.9857920408248901,0.8449214100837708,0.7521160840988159,0.8887545466423035,1.0,0.03174123540520668,0.00674331962892955,12.214837371308187,0.0066784764640033245
1.0,0.9283555150032043,0.9860943555831909,0.9026602506637573,0.75,0.9304715991020203,1.0,0.03174123540520668,0.006396443964066831,11.972515218129212,0.006307046860456467
0.999697744846344,0.92684406042099,0.9857920408248901,0.8479443788528442,0.7503023147583008,0.8712213039398193,1.0,0.03174123540520668,0.006169029977172613,12.265636441975154,0.006103442050516605
0.999697744846344,0.92684406042099,0.9860943555831909,0.8920798301696777,0.7515115141868591,0.9265417456626892,1.0,0.03174123540520668,0.006260934243486686,12.068053848364137,0.006138847675174475
1.0,0.92684406042099,0.9857920408248901,0.9008464813232422,0.7518138289451599,0.8808948397636414,1.0,0.03174123540520668,0.006191827399148183,12.112228581935845,0.006095126271247864
0.999697744846344,0.9289601445198059,0.9860943555831909,0.8228537440299988,0.7521160840988159,0.8887545466423035,1.0,0.03174123540520668,0.006945860529826446,12.26916833892888,0.0068540810607373714
