org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.9528809189796448,0.8182551860809326,0.8651049733161926,0.5527732372283936,0.752896785736084,0.5142703056335449,0.9189552664756775,0.04132695868611336,0.006585396021943201,15.490037218286572,0.006561483256518841
0.9523424506187439,0.8196014761924744,0.8694130182266235,0.5250403881072998,0.7537051439285278,0.5691975951194763,0.9189552664756775,0.04132695868611336,0.006225589747455987,15.447219651277093,0.006140062585473061
0.9168012738227844,0.8193322420120239,0.8715670108795166,0.5425416827201843,0.754783034324646,0.5592352747917175,0.9189552664756775,0.04132695868611336,0.005500602747567676,15.451561777048152,0.005362110212445259
0.9135702252388,0.8196014761924744,0.8704900145530701,0.6068928241729736,0.7539746165275574,0.5449649691581726,0.9189552664756775,0.04132695868611336,0.005716303194111044,15.250621703876691,0.0055652279406785965
0.9135702252388,0.7967150807380676,0.8659127354621887,0.5473882555961609,0.7537051439285278,0.5837371945381165,0.9189552664756775,0.04132695868611336,0.008003365333107386,15.30075604781847,0.007870553992688656
0.9135702252388,0.8029078841209412,0.864566445350647,0.5411954522132874,0.7537051439285278,0.6141626238822937,0.9229940176010132,0.04132695868611336,0.005942034831439907,15.269095440183513,0.005807478912174702
0.9168012738227844,0.8155627250671387,0.8659127354621887,0.5638125538825989,0.7531662583351135,0.535271942615509,0.9189552664756775,0.04132695868611336,0.006152815016155893,15.419211176562715,0.006060498766601086
0.9528809189796448,0.8061388731002808,0.871836245059967,0.5823909044265747,0.7537051439285278,0.5945072174072266,0.9189552664756775,0.04132695868611336,0.005846969190646301,15.209965785203332,0.0056925248354673386
0.9135702252388,0.815024197101593,0.8688744902610779,0.5923532247543335,0.7539746165275574,0.5864297151565552,0.9189552664756775,0.04132695868611336,0.005813539155166258,15.27473728439178,0.005684042349457741
0.9464188814163208,0.809908390045166,0.8648357391357422,0.5376951694488525,0.7542440891265869,0.5522347688674927,0.9189552664756775,0.04132695868611336,0.0064735940911553125,15.402362830259584,0.00634424714371562
