org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.7261599898338318,0.8636085987091064,0.79057377576828,0.0049264950766449885,0.02486316194491727,2.301020841424664,0.004972032271325588,0.024714121595025063
0.7353503108024597,0.8605587482452393,0.79057377576828,0.004462294058785552,0.05663356291396277,2.288300351505833,0.0044978102669119835,0.05640437453985214
0.7425887584686279,0.8606806993484497,0.79057377576828,0.005734179346334366,0.01964968850924855,2.2460889796770753,0.005772189237177372,0.01938837580382824
0.7209141254425049,0.8560855388641357,0.7903297543525696,0.004526999047292131,0.03547345829151925,2.3018997994783734,0.004565796349197626,0.03482585772871971
0.7381561994552612,0.8595420718193054,0.79057377576828,0.009119183357272829,0.017457261149372374,2.237412554167566,0.009159010834991932,0.017227232456207275
0.7407587766647339,0.8663331866264343,0.79057377576828,0.0050603750250524,0.026329406758859045,2.240921003854878,0.0051339492201805115,0.025951938703656197
0.7118458151817322,0.8597860932350159,0.8067992329597473,0.004768639603363616,0.04430144422111057,2.416352109695297,0.004799330607056618,0.04387513920664787
0.7120897769927979,0.8590540885925293,0.8067992329597473,0.009315076062367075,0.026808247945847966,2.3453329915092107,0.009363100863993168,0.026404019445180893
0.7419787645339966,0.8625106811523438,0.7933796644210815,0.0066469512392012845,0.04637272726921808,2.2487200387043966,0.006707351189106703,0.04624056816101074
0.7325037717819214,0.8553942441940308,0.7934203743934631,0.005715266313581239,0.029788232630207426,2.29575119211915,0.005758673883974552,0.02937348000705242
