org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.43312060832977295,0.6589023470878601,0.7279195785522461,0.006019346903832186,0.013541184277051971,4.502735803214212,0.00609373115003109,0.013556132093071938
0.4096681475639343,0.6701340079307556,0.7167198657989502,0.005480489028351647,0.006611244930397896,4.497846470790959,0.005533002316951752,0.006604478228837252
0.41461390256881714,0.6621888875961304,0.7212188839912415,0.004186700486267607,0.01066031005410921,4.5342175011367845,0.004244512878358364,0.010671081021428108
0.4134652316570282,0.6558072566986084,0.7212188839912415,0.004751228494569659,0.0030840053666560422,4.490395803192985,0.00480651156976819,0.003058302914723754
0.40548819303512573,0.6665922403335571,0.7234205603599548,0.004590861144519988,0.021898037354860986,4.519752585905648,0.00464892853051424,0.021930597722530365
0.4536694288253784,0.6578813195228577,0.7167198657989502,0.0057398503247116294,0.004519343664426179,4.4655999370540185,0.005809699650853872,0.00449666241183877
0.3113592863082886,0.6541480422019958,0.7167198657989502,0.004998616386382352,0.009166082677741846,4.775660124651733,0.005060513503849506,0.009151777252554893
0.40118059515953064,0.6693363189697266,0.7279195785522461,0.004440510967036798,0.014173344043748719,4.519701756148909,0.0044999560341238976,0.014168995432555676
0.4007658064365387,0.661965548992157,0.7167198657989502,0.004316493247946103,0.025065096095204353,4.5566321687684175,0.004379268269985914,0.025081537663936615
0.4239310920238495,0.6568921208381653,0.7167198657989502,0.0047249865518616775,0.029893094762450174,4.530117828454379,0.004786740522831678,0.029941819608211517
