org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.558684229850769,0.8193403482437134,0.8103848695755005,0.004079404176168498,0.012282564703907286,3.7000007700574185,0.004131912719458342,0.01227493491023779
0.5626883506774902,0.8195556402206421,0.8103848695755005,0.0039836381052044175,0.0193661857573759,3.7086730452054844,0.004019035026431084,0.01939822919666767
0.5784896016120911,0.8219667077064514,0.8103848695755005,0.002386289997957647,0.013160716964020616,3.7561140950891145,0.002425729762762785,0.013159448280930519
0.5202789902687073,0.8151209354400635,0.8103848695755005,0.003050225687080196,0.003967418878649672,3.74753336909981,0.0030845198780298233,0.003943841904401779
0.5530009269714355,0.8184362053871155,0.8103848695755005,0.003480958685811077,0.002233796886035374,3.719533850638462,0.0035206282045692205,0.002197061898186803
0.6057866215705872,0.8208903670310974,0.8103848695755005,0.0035765148544063172,0.022830690478994733,3.722089183173098,0.0036142345052212477,0.022870400920510292
0.38344958424568176,0.8201584219932556,0.8103848695755005,0.003502664300391362,0.01727812879142307,4.214094073833188,0.003545899875462055,0.017317811027169228
0.5425385236740112,0.8191681504249573,0.8103848695755005,0.0029857137595259006,0.0222993108133475,3.752752577109883,0.003022560616955161,0.022309686988592148
0.5158442854881287,0.8149057030677795,0.8103848695755005,0.002768817712508497,0.004932197498246318,3.7853074868741845,0.0028127566911280155,0.004849073477089405
0.5633341670036316,0.8163695335388184,0.8103848695755005,0.0028893364859478815,0.00853985579063495,3.692138467737961,0.002928172005340457,0.008491754531860352
