org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9990931153297424,0.9845828413963318,0.9924426078796387,0.9407497048377991,0.7515115141868591,1.0,0.03174123540520668,0.006610226224769245,0.032624691555445846,11.320608650678134,0.006476724985986948,0.03261001035571098
0.9990931153297424,0.9860943555831909,0.9930471777915955,0.9359129667282104,0.7560459971427917,1.0,0.03174123540520668,0.006564911285584623,0.18376561592925678,11.697509931876663,0.006498011760413647,0.18424434959888458
0.9993954300880432,0.9873035550117493,0.9924426078796387,0.9386336207389832,0.7512091994285583,1.0,0.03174123540520668,0.006233274471014738,0.08302016149867665,10.974947385447608,0.00614763842895627,0.08295107632875443
0.9993954300880432,0.9773277044296265,0.9918379783630371,0.9168682098388672,0.7509069442749023,1.0,0.03174123540520668,0.0067176335406574335,0.21247940442778848,11.01641620499537,0.006555624771863222,0.2126813679933548
0.9990931153297424,0.9863966703414917,0.9915357232093811,0.9340991973876953,0.7503023147583008,1.0,0.03174123540520668,0.008800325407223268,0.06425982104106383,11.47916267344474,0.008768522180616856,0.06431876868009567
0.9993954300880432,0.9860943555831909,0.9927449226379395,0.9313784837722778,0.7542321681976318,1.0,0.03174123540520668,0.006144713102416558,0.2776266634464264,11.230970483527265,0.005990211386233568,0.2780042290687561
0.9993954300880432,0.987908124923706,0.9921402931213379,0.9337968826293945,0.7512091994285583,1.0,0.03174123540520668,0.008390698581933975,0.10419339483434503,11.474460092934102,0.00832524336874485,0.10444764792919159
0.9990931153297424,0.9882104396820068,0.9927449226379395,0.9356106519699097,0.7539299130439758,1.0,0.03174123540520668,0.006261833985759454,0.23201259835199875,11.175785074386196,0.006196614820510149,0.2322586625814438
0.9993954300880432,0.9857920408248901,0.9933494925498962,0.9204958081245422,0.7551390528678894,1.0,0.03174123540520668,0.007308989890258421,0.059442380273883995,11.034270148057574,0.007109280675649643,0.059371475130319595
0.9987908601760864,0.9848851561546326,0.993954062461853,0.8960096836090088,0.7524183988571167,1.0,0.03174123540520668,0.007380726577883417,0.12006183578209444,11.138393604492938,0.007334364578127861,0.12040802836418152
