org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9930201768875122,0.940787672996521,0.9689820408821106,0.8281879425048828,0.758723258972168,0.961884081363678,0.038687970489263535,0.006385575937615199,0.2515776821158149,12.266283388122577,0.006255283951759338,0.2511845529079437
0.9822819232940674,0.9399946928024292,0.9708378314971924,0.7943624258041382,0.7627806067466736,0.9776749610900879,0.03756657987833023,0.008258036126128653,0.3615774458104914,12.624937434299765,0.008194847963750362,0.3616846799850464
0.991409420967102,0.9513612985610962,0.942470908164978,0.7965101003646851,0.758723258972168,0.9746801257133484,0.038687970489263535,0.006804024165665562,0.28239906511523505,12.023884257513352,0.00669844588264823,0.2817816138267517
0.9900671243667603,0.9273063540458679,0.9737540483474731,0.8021476864814758,0.7592642307281494,0.96133953332901,0.038687970489263535,0.006773645100607114,0.344052946025675,12.06432326294651,0.006619117222726345,0.343922883272171
0.982013463973999,0.9378799200057983,0.9138388633728027,0.7940939664840698,0.758723258972168,0.9771304726600647,0.038687970489263535,0.007461103610694408,0.2871451012112878,12.527216357517649,0.007404988631606102,0.2866874635219574
0.9922147989273071,0.9558550715446472,0.9737540483474731,0.8246979713439941,0.7525020241737366,0.9392867088317871,0.038687970489263535,0.0059505040461028166,0.39361752434210345,12.378699405266987,0.0057814838364720345,0.3940441608428955
0.9932886362075806,0.9310070872306824,0.9689820408821106,0.8177181482315063,0.758723258972168,0.9727743268013,0.03728623315691948,0.007360304409468716,0.3456752435727553,12.350289198781617,0.007248302921652794,0.3454814851284027
0.990604043006897,0.9418450593948364,0.9689820408821106,0.8195973038673401,0.7603461742401123,0.9746801257133484,0.038687970489263535,0.0059453592720356855,0.3664330487901514,12.10691852715205,0.005804893560707569,0.36606457829475403
0.9857718348503113,0.9191117882728577,0.9697773456573486,0.8249664306640625,0.7625101208686829,0.9774026870727539,0.038687970489263535,0.007438195784660903,0.2964285666292364,11.977060107598929,0.007235747762024403,0.2959994673728943
0.9742282032966614,0.9381442666053772,0.965270459651947,0.6464429497718811,0.7595347166061401,0.9771304726600647,0.038687970489263535,0.006682501089843837,0.29572766612876544,12.436120583760468,0.006601560395210981,0.2956984043121338
