org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9997594952583313,0.8564213514328003,0.8881673812866211,0.6452621817588806,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.005414806729690595,80.87839889526367,93.5991255057637,0.005168501287698746,80.90840148925781
0.9997594952583313,0.8787878751754761,0.8881673812866211,0.6479076743125916,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.008743410591374744,87.26540236039595,99.99265019595623,0.008569605648517609,87.31889343261719
0.9997594952583313,0.8564213514328003,0.8879268765449524,0.36796537041664124,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.0058429700915109024,85.45656724409623,98.9150843500075,0.005577335134148598,85.50494384765625
0.9992785453796387,0.8763828873634338,0.8879268765449524,0.6204906105995178,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.014367489906197245,78.62431820956144,91.5055200474506,0.014431965537369251,78.6353530883789
0.9997594952583313,0.8561808466911316,0.8881673812866211,0.5820105671882629,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.011605397713455286,78.72040869972922,91.90879951303147,0.011323006823658943,78.72100830078125
0.9997594952583313,0.8766233921051025,0.8879268765449524,0.6341991424560547,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.005919646260074594,84.64584246548739,97.29593950327994,0.0058218068443238735,84.70390319824219
0.9997594952583313,0.875420868396759,0.8867244124412537,0.6144781112670898,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.007430924864655191,75.6439261002974,88.4371882268143,0.007160925306379795,75.65632629394531
0.9997594952583313,0.8766233921051025,0.8881673812866211,0.5399230718612671,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.0075912614860995245,81.6359634399414,94.5568702880039,0.0074966056272387505,81.68248748779297
0.9978355169296265,0.8763828873634338,0.8879268765449524,0.5885040760040283,0.7554112672805786,0.9215969443321228,0.044733043760061264,0.016477818600833416,76.7610196200284,89.8988673422401,0.016378190368413925,76.75157165527344
0.9997594952583313,0.8564213514328003,0.8867244124412537,0.3730158805847168,0.7539682388305664,0.9215969443321228,0.044733043760061264,0.00747170134193518,77.1781813881614,90.96766140028326,0.007349891122430563,77.18306732177734
