Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6292428374290466,0.07417582720518112,0.942558765411377,0.6997389197349548,0.6214099526405334,0.8746736645698547,0.9190600514411926,0.3236074149608612,0.19321149587631226,0.8224543333053589,0.04788392037153244,20.293170377612114,0.04177507758140564
0.647519588470459,0.08241758495569229,0.9164491295814514,0.7597911357879639,0.652741551399231,0.8302872180938721,0.9086161851882935,0.19363394379615784,0.29503917694091797,0.7911227345466614,0.03640685975551605,20.623934239149094,0.03151392564177513
0.6396867036819458,0.08791209012269974,0.9556136131286621,0.7545691728591919,0.6631854176521301,0.8851175308227539,0.9033942818641663,0.18832890689373016,0.29503917694091797,0.8198433518409729,0.03302976116538048,20.570633966475725,0.03264499828219414
0.6318538188934326,0.09340659528970718,0.9686684012413025,0.7597911357879639,0.6631854176521301,0.8276762366294861,0.9138381481170654,0.2493368685245514,0.2610965967178345,0.8250653147697449,0.02361122239381075,19.705713433213532,0.020966706797480583
0.6579634547233582,0.12912088632583618,0.9556136131286621,0.772845983505249,0.650130569934845,0.8198433518409729,0.9007833003997803,0.27586206793785095,0.352480411529541,0.8172323703765869,0.016866564750671387,21.069466695189476,0.014421147294342518
0.6318538188934326,0.10439560562372208,0.9582245349884033,0.7467362880706787,0.650130569934845,0.8459529876708984,0.8746736645698547,0.17771883308887482,0.29503917694091797,0.7545691728591919,0.004512286512181163,20.85738532128744,0.006082850508391857
0.6161879897117615,0.13736264407634735,0.9347258806228638,0.7441253662109375,0.6370757222175598,0.9033942818641663,0.9033942818641663,0.2652519941329956,0.30809399485588074,0.8198433518409729,0.02340632490813732,19.733094861730933,0.02278989367187023
0.5979112386703491,0.10439560562372208,0.9556136131286621,0.7415143847465515,0.6370757222175598,0.8276762366294861,0.8798955678939819,0.24668434262275696,0.3185378611087799,0.8302872180938721,0.020823173224925995,20.404163010418415,0.01883380301296711
0.6318538188934326,0.1428571492433548,0.9712793827056885,0.7754569053649902,0.652741551399231,0.8616188168525696,0.9321148991584778,0.35809019207954407,0.3968668580055237,0.8224543333053589,0.022481677122414112,19.401602142490447,0.02331695891916752
0.6422976851463318,0.07417582720518112,0.9268929362297058,0.7545691728591919,0.6318538188934326,0.8172323703765869,0.8616188168525696,0.22281166911125183,0.33159270882606506,0.7624021172523499,0.008216202026233077,20.87891373760067,0.007545988075435162
