Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6893491148948669,0.11445783078670502,1.0,0.7603550553321838,0.6508876085281372,0.9526627063751221,0.9733728170394897,0.4154302775859833,0.2662721872329712,0.8550295829772949,0.04279549606144428,18.939462499984074,0.03594065457582474
0.7100591659545898,0.10843373090028763,1.0,0.8668639063835144,0.7011834383010864,0.9349112510681152,0.9644970297813416,0.27893173694610596,0.3461538553237915,0.8284024000167847,0.023992600850760937,18.957732162438333,0.021438593044877052
0.7071006298065186,0.1234939694404602,1.0,0.8491124510765076,0.7248520851135254,0.9526627063751221,0.9733728170394897,0.2640949487686157,0.36094674468040466,0.8668639063835144,0.03556506894528866,19.00967814985779,0.03463837131857872
0.6568047404289246,0.1265060156583786,1.0,0.8727810978889465,0.6893491148948669,0.9319526553153992,0.9733728170394897,0.2997032701969147,0.29289939999580383,0.860946774482727,0.021905355155467987,18.386683165095747,0.01907859556376934
0.7071006298065186,0.15361444652080536,1.0,0.8491124510765076,0.6834319829940796,0.9349112510681152,0.9556213021278381,0.34124627709388733,0.41420120000839233,0.8668639063835144,0.016933167818933725,19.301783578353934,0.014635853469371796
0.7041420340538025,0.14156626164913177,1.0,0.8639053106307983,0.715976357460022,0.9585798978805542,0.9733728170394897,0.27299702167510986,0.3491124212741852,0.8698225021362305,0.0059932812582701445,18.54644742491655,0.0063173286616802216
0.6360946893692017,0.17771083116531372,1.0,0.831360936164856,0.665680468082428,0.9497041702270508,0.9733728170394897,0.3531157374382019,0.35207101702690125,0.8639053106307983,0.026190409436821938,18.464045656757662,0.02528531476855278
0.668639063835144,0.15060240030288696,1.0,0.8136094808578491,0.6775147914886475,0.9467455744743347,0.9733728170394897,0.30563798546791077,0.39053255319595337,0.8786982297897339,0.020393788814544678,17.457512772991322,0.01970779336988926
0.6804733872413635,0.1987951695919037,1.0,0.8491124510765076,0.7011834383010864,0.9408284425735474,0.9733728170394897,0.38872402906417847,0.45562130212783813,0.8727810978889465,0.025795601308345795,17.93133347760886,0.027656467631459236
0.6745561957359314,0.11746987700462341,1.0,0.860946774482727,0.7041420340538025,0.9437869787216187,0.9704142212867737,0.3026706278324127,0.40532544255256653,0.8520710468292236,0.00890688062645495,17.976328501245007,0.0075357272289693356
