Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,AVG_total_loss
0.6715976595878601,0.09939758479595184,1.0,0.7988165616989136,0.6804733872413635,0.9112426042556763,0.6580310463905334,0.9674556255340576,0.281899094581604,0.3284023702144623,0.8727810978889465,20.028951372747542
0.7011834383010864,0.09939758479595184,1.0,0.8520710468292236,0.6893491148948669,0.9408284425735474,0.6917098164558411,0.9437869787216187,0.2700296640396118,0.3639053404331207,0.8491124510765076,19.97146785017685
0.6893491148948669,0.09939758479595184,1.0,0.8402367234230042,0.6952663064002991,0.9408284425735474,0.7020725011825562,0.9704142212867737,0.2551928758621216,0.34023669362068176,0.8402367234230042,19.715757658763323
0.6893491148948669,0.15963855385780334,1.0,0.8431952595710754,0.7100591659545898,0.9437869787216187,0.756476640701294,0.9733728170394897,0.3827893137931824,0.41124260425567627,0.8639053106307983,19.46255477378145
0.6331360936164856,0.15060240030288696,1.0,0.7840237021446228,0.6479290127754211,0.9467455744743347,0.7538859844207764,0.9644970297813416,0.3442136347293854,0.4260355234146118,0.8431952595710754,19.984158318286063
0.5207100510597229,0.13855421543121338,1.0,0.7248520851135254,0.6834319829940796,0.9201183319091797,0.7901554107666016,0.9674556255340576,0.42136499285697937,0.4911242723464966,0.8491124510765076,19.182523247320205
0.6804733872413635,0.15662649273872375,1.0,0.8461538553237915,0.7011834383010864,0.9437869787216187,0.7098445296287537,0.9733728170394897,0.3976261019706726,0.4497041404247284,0.8639053106307983,18.952037813258357
0.7366864085197449,0.0662650614976883,1.0,0.8639053106307983,0.7337278127670288,0.9289941191673279,0.7512953281402588,0.9615384936332703,0.15727002918720245,0.22781065106391907,0.834319531917572,19.350089881452732
0.6863905191421509,0.14156626164913177,1.0,0.8402367234230042,0.6804733872413635,0.9467455744743347,0.7409326434135437,0.9733728170394897,0.32937684655189514,0.37278106808662415,0.8431952595710754,19.021719557233155
0.6331360936164856,0.16265060007572174,1.0,0.7633135914802551,0.6035503149032593,0.9319526553153992,0.7927460670471191,0.976331353187561,0.43916913866996765,0.4260355234146118,0.834319531917572,19.135075954254717
