Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,AVG_total_loss
0.5043668150901794,0.07356321811676025,1.0,0.5458515286445618,0.5043668150901794,0.9210526347160339,0.7322515249252319,0.971615731716156,0.19247788190841675,0.40611353516578674,0.7663755416870117,21.240980790928006
0.5021834373474121,0.08505746722221375,1.0,0.5567685961723328,0.5043668150901794,0.9232456088066101,0.7119675278663635,0.971615731716156,0.2566371560096741,0.3624454140663147,0.7882096171379089,21.476957744918764
0.5218340754508972,0.12643678486347198,1.0,0.5458515286445618,0.510917067527771,0.9100877046585083,0.7160243391990662,0.971615731716156,0.258849561214447,0.3930131196975708,0.7947598099708557,20.989319203421474
0.5262008905410767,0.11724138259887695,1.0,0.5589519739151001,0.5065502524375916,0.9210526347160339,0.703853964805603,0.971615731716156,0.2566371560096741,0.41703057289123535,0.7576419115066528,20.52030184213072
0.528384268283844,0.059770114719867706,1.0,0.5589519739151001,0.5087336301803589,0.9078947305679321,0.720081090927124,0.9519650936126709,0.24336282908916473,0.25982531905174255,0.8144105076789856,21.56167959794402
0.5043668150901794,0.0873563215136528,1.0,0.5458515286445618,0.5021834373474121,0.9078947305679321,0.7160243391990662,0.971615731716156,0.190265491604805,0.3995633125305176,0.7882096171379089,20.749183259904385
0.5262008905410767,0.06436781585216522,1.0,0.5567685961723328,0.5065502524375916,0.9342105388641357,0.7058823108673096,0.971615731716156,0.2101769894361496,0.2532751262187958,0.7445415258407593,21.728216050192714
0.5240174531936646,0.10804598033428192,1.0,0.5589519739151001,0.4890829920768738,0.9385964870452881,0.720081090927124,0.971615731716156,0.15707965195178986,0.38646289706230164,0.7445415258407593,20.420115754939616
0.510917067527771,0.05747126415371895,1.0,0.5589519739151001,0.510917067527771,0.9342105388641357,0.7058823108673096,0.971615731716156,0.19247788190841675,0.3515283763408661,0.7379912734031677,21.769246974028647
0.5305677056312561,0.07816091924905777,1.0,0.5589519739151001,0.5305677056312561,0.9254385828971863,0.7302231192588806,0.9213973879814148,0.29646018147468567,0.49344977736473083,0.7860262393951416,20.462321450933814
