Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,AVG_total_loss
0.7564103007316589,0.0883190855383873,0.8992248177528381,0.8463611602783203,0.7686169743537903,0.7853261232376099,0.513189435005188,0.8933333158493042,0.2032085657119751,0.2639999985694885,0.7212275862693787,22.417821682989597
0.7794871926307678,0.045584045350551605,0.9224806427955627,0.9110512137413025,0.813829779624939,0.8913043737411499,0.5587530136108398,0.8479999899864197,0.23262032866477966,0.2906666696071625,0.7570332288742065,21.50573106855154
0.7615385055541992,0.06267806142568588,0.9043927788734436,0.8760107755661011,0.8031914830207825,0.83152174949646,0.5371702909469604,0.8826666474342346,0.17914438247680664,0.2639999985694885,0.7289002537727356,21.210572600364685
0.7846153974533081,0.09401709586381912,0.8992248177528381,0.865229070186615,0.8005318641662598,0.8885869979858398,0.568345308303833,0.890666663646698,0.3074866235256195,0.2826666533946991,0.7647058963775635,22.439380280673504
0.7794871926307678,0.1111111119389534,0.9173126816749573,0.8840970396995544,0.8111701607704163,0.8804348111152649,0.6402877569198608,0.8853332996368408,0.23529411852359772,0.3253333270549774,0.7723785042762756,21.512144297361374
0.6410256624221802,0.10541310161352158,0.9250646233558655,0.8544474244117737,0.7978723049163818,0.8505434989929199,0.5875300168991089,0.8853332996368408,0.26737967133522034,0.4000000059604645,0.7698209881782532,21.681329250335693
0.7461538910865784,0.0883190855383873,0.9173126816749573,0.9002695083618164,0.7952127456665039,0.8586956858634949,0.5395683646202087,0.8959999680519104,0.3074866235256195,0.3173333406448364,0.7570332288742065,20.97757662087679
0.7025641202926636,0.03703703731298447,0.9224806427955627,0.8544474244117737,0.7526595592498779,0.8396739363670349,0.5659472346305847,0.8959999680519104,0.11229946464300156,0.2133333384990692,0.7544757127761841,22.14408390969038
0.8051282167434692,0.0655270665884018,0.8992248177528381,0.9191374182701111,0.8324467539787292,0.9293478727340698,0.5707434415817261,0.8853332996368408,0.1925133764743805,0.30666667222976685,0.7698209881782532,20.8814914226532
0.7512820959091187,0.14245013892650604,0.8630490899085999,0.8975741267204285,0.7952127456665039,0.804347813129425,0.6450839638710022,0.890666663646698,0.32620322704315186,0.335999995470047,0.7468030452728271,20.746780827641487
