excluded_feature,test_type,org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ,Activity_acc
Activity,odd,0.6701411962509155,0.8985404014587403,0.8505338609218598,0.0064409325653243,0.0281102808059326,2.31104491385853,0.00649636965245,0.0278431203216314,
Activity,even,0.7302346289157867,0.8603553950786591,0.7943597137928009,0.0060275459129895,0.0327677191634263,2.292179986213644,0.0060729244723916,0.032440510764718,
Activity,random,0.6063277423381805,0.7472815155982971,0.7795546293258667,0.0114474657213404,0.0894621695081392,3.5305273932537866,0.0115242214873433,0.0884645707905292,
Activity,window,0.6702488899230957,0.8253126919269562,0.8182291030883789,0.0073308510639305,0.0235520505146788,2.975955103892124,0.0073804636951535,0.02342623276636,
Activity,attr_level,0.606802350282669,0.7507508397102356,0.7815067887306213,0.0114532267541757,0.0919806039581696,3.51959256547104,0.0114654718898236,0.0901822097599506,
org:resource,odd,,0.9497158110141756,0.9843407928943634,0.0144579018488348,0.0271107683423906,0.4612047342051352,0.0144723336677998,0.0268641007132828,0.9490570604801178
org:resource,even,,0.9214631199836733,0.9809360921382904,0.013710162449362,0.0283132493318546,0.5267025229277178,0.0137292746920138,0.0281304399482905,0.9221178293228148
org:resource,random,,0.7912100911140442,0.8852185010910034,0.0162741937807628,0.0883381748838083,1.7460373008889811,0.0163330357521772,0.0873755402863025,0.7663907766342163
org:resource,window,,0.88524888753891,0.950213783979416,0.0094882154748553,0.0249327072119783,0.9499540518126672,0.0095227860845625,0.0248420228250324,0.8803063213825226
org:resource,attr_level,,0.8921339213848114,0.957316380739212,0.0247932934512694,0.1010143940647443,0.9632805881578298,0.0247922141104936,0.0993519879877567,0.8903211116790771
concept:name,odd,0.7695599555969238,,0.9896236658096312,0.0105365690154333,0.0220141748454244,1.58952761923096,0.010563583811745,0.0217971257865428,0.9491603910923004
concept:name,even,0.7904558420181275,,0.9899109184741974,0.0098174371047034,0.0219625318400739,1.529381628975361,0.0098368834238499,0.0218242363072931,0.920698618888855
concept:name,random,0.644684886932373,,0.8899117708206177,0.0150847884427223,0.0801119911528769,3.085153037832961,0.015120003838092,0.0791867233812809,0.7716260612010956
concept:name,window,0.7142405867576599,,0.9602265536785126,0.0093956455300074,0.0285268142464615,2.283187061342012,0.0094220519997179,0.0284363148733973,0.8922718465328217
concept:name,attr_level,0.6520814061164856,,0.9465563416481018,0.0240235512366607,0.0916226148605346,2.791476001794494,0.0240325836464762,0.0899990186095237,0.8153939008712768
lifecycle:transition,odd,0.7703091084957123,0.9518857836723328,,0.0120890512818559,0.0335642679195318,1.72374930607288,0.0121192632708698,0.0333526484668254,0.9529923141002656
lifecycle:transition,even,0.7912610232830047,0.9236631214618682,,0.0118211600219919,0.0316185655759736,1.6711757268823153,0.0118593293707817,0.0315172062255442,0.9238908529281616
lifecycle:transition,random,0.6422395050525666,0.7925126194953919,,0.0184558867654275,0.0806943713731709,3.4391088105161627,0.0185204801149666,0.0797435827553272,0.7616764724254608
lifecycle:transition,window,0.7138991713523865,0.8843426942825318,,0.0117074769699857,0.0231851983238898,2.4872145535113908,0.0117475543636828,0.0230606772005558,0.8866464555263519
lifecycle:transition,attr_level,0.6496810734272003,0.8893955290317536,,0.0287513122583428,0.0933867723814078,2.873948490504353,0.0287734007462859,0.0918020687997341,0.8619457602500915
time:timestamp,odd,0.7774261415004731,0.9535563230514528,0.9894686579704284,,0.0248699509671756,1.7066345954757365,,0.0245942907407879,0.9544131398200988
time:timestamp,even,0.79749094247818,0.9257004499435424,0.9895571410655976,,0.0253466928821234,1.6779543672466564,,0.0251668263226747,0.925993239879608
time:timestamp,random,0.6464411854743958,0.7987647116184234,0.8904285788536072,,0.0830519083532549,3.626538130978034,,0.0821266897022724,0.7800336182117462
time:timestamp,window,0.7212603628635407,0.8940523266792297,0.9582195281982422,,0.0229578955010289,2.5412892602561485,,0.0228154393844306,0.8996521949768066
time:timestamp,attr_level,0.6622744500637054,0.9046144723892212,0.9621262609958648,,0.0952757494790213,2.7389374450558703,,0.0936087012290954,0.9019050002098083
(case) AMOUNT_REQ,odd,0.7834194123744964,0.9515714645385742,0.9903555989265442,0.007413264949406896,,1.6213319348437447,0.007431021519005298,,0.9559588015079499
(case) AMOUNT_REQ,even,0.8019356608390809,0.9248139560222626,0.9907770931720734,0.00681232028596458,,1.6072120703402022,0.006834842450916767,,0.9270302057266235
(case) AMOUNT_REQ,random,0.6548487424850464,0.8018739461898804,0.8970840394496917,0.014070578212184565,,3.4987682077235407,0.01410029623657465,,0.7930924534797669
(case) AMOUNT_REQ,window,0.729534137248993,0.8954020380973816,0.961758142709732,0.008534863828459664,,2.4855411058269614,0.008559658005833626,,0.9024154484272003
(case) AMOUNT_REQ,attr_level,0.674515324831009,0.923640251159668,0.9676369071006775,0.018734206538647415,,2.5021312854252757,0.018734489940106867,,0.9193827450275421
