REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
1.0,0.9979907870292664,0.9998353719711304,0.0159638186267234,0.08271349533951204,0.016440490260720253
1.0,0.9972600936889648,0.9998353719711304,0.015925641030710386,0.08322187764784567,0.016398906707763672
1.0,0.9936069250106812,0.9998353719711304,0.015961925431742872,0.09360081990139167,0.016438517719507217
1.0,0.9965903759002686,0.9998353719711304,0.015966519664384816,0.09121331567784134,0.016443299129605293
1.0,0.9972600936889648,0.9998353719711304,0.015976275446040456,0.09731376462916255,0.01645340956747532
1.0,0.9972600936889648,0.9998353719711304,0.015952789555548838,0.0896997872623615,0.016428830102086067
1.0,0.9965903759002686,0.9998353719711304,0.015961911094276922,0.08787430388742666,0.016438502818346024
1.0,0.9972600936889648,0.9998353719711304,0.01599177513516655,0.08114485568091225,0.016469432041049004
1.0,0.995007336139679,0.9998353719711304,0.01590451753183611,0.09775753225824844,0.016377702355384827
1.0,0.9975036382675171,0.9998353719711304,0.015961507151491548,0.08610352423458703,0.016438079997897148
