REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
1.0,0.9727055430412292,0.9798229932785034,0.015335356485784837,0.38960968048654887,0.01570863462984562
1.0,0.9698057770729065,0.9793022871017456,0.015339292873824505,0.3945652758273737,0.01571301743388176
1.0,0.9718770384788513,0.9793022871017456,0.015360672333228746,0.3897184931403516,0.015735754743218422
1.0,0.9713707566261292,0.9793022871017456,0.015349814931764022,0.40298425911705155,0.01572433114051819
1.0,0.9795176386833191,0.9793022871017456,0.015340306281455253,0.4030082633865899,0.015714123845100403
1.0,0.9681487679481506,0.9793022871017456,0.015334347930834874,0.39438563094498885,0.015707459300756454
1.0,0.9721071720123291,0.9793022871017456,0.015336182434111834,0.39650965300633717,0.01570957712829113
1.0,0.9699898958206177,0.9798229932785034,0.015339814003949103,0.3823324961489753,0.015713587403297424
1.0,0.9818651080131531,0.9798229932785034,0.015341730886384061,0.3748403155048819,0.015715671703219414
1.0,0.9721071720123291,0.9793022871017456,0.01534318268960832,0.38972837245704506,0.015717241913080215
