REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.9898424744606018,0.9520555734634399,0.9578023552894592,0.019983623428025135,0.5255896196712887,0.0203706044703722
0.9823670387268066,0.950964629650116,0.9579590559005737,0.019869742247177975,0.5301273224667009,0.020255083218216896
0.9898424744606018,0.946313738822937,0.9603614211082458,0.01998342045484797,0.5335476679457841,0.020370297133922577
0.9898424744606018,0.9487253427505493,0.9617192149162292,0.019984010049436046,0.5348982069653606,0.020371131598949432
0.9898424744606018,0.9426389932632446,0.9639648795127869,0.01998607688705976,0.5307018791362154,0.020373661071062088
0.9898424744606018,0.9467156529426575,0.961197018623352,0.019982277097082453,0.5241962904845806,0.020368458703160286
0.9898424744606018,0.947691798210144,0.9604136347770691,0.019983417103312126,0.5223325087480541,0.020370295271277428
0.987788200378418,0.9503330588340759,0.9586902260780334,0.01999094932168526,0.5278089489285392,0.020379191264510155
0.9861903786659241,0.945682168006897,0.965844988822937,0.019850077689625323,0.5358058996927483,0.02023480460047722
0.9898424744606018,0.9476343989372253,0.96271151304245,0.019983385707937965,0.5185070954643092,0.02037023939192295
