Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,AVG_total_loss
0.7477676868438721,1.0,0.9981589317321777,0.9997397065162659,0.8788317757272651
0.7429807782173157,1.0,0.9982509613037109,0.9996963143348694,0.8843485952590862
0.7384700775146484,1.0,0.9979287981987,0.9996963143348694,0.9028448209895654
0.7473074197769165,1.0,0.9976065754890442,0.9997830986976624,0.8919916285223352
0.731105625629425,1.0,0.9982509613037109,0.9997397065162659,0.9199405773665363
0.7444076538085938,1.0,0.9981589317321777,0.9997397065162659,0.8832112709642388
0.739344596862793,1.0,0.9982509613037109,0.9997397065162659,0.8940681081164114
0.7375955581665039,1.0,0.9973304271697998,0.9997397065162659,0.8892026075627655
0.7472613453865051,1.0,0.9982509613037109,0.9998264908790588,0.9095177819253877
0.7462027072906494,1.0,0.9978827834129333,0.9998264908790588,0.8922043296563635
