Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,AVG_total_loss
0.8155747652053833,1.0,0.9982343316078186,0.9998353719711304,0.5950560072830596
0.8121042251586914,1.0,0.9982951879501343,0.9998353719711304,0.5942270519858299
0.8033366203308105,1.0,0.9982951879501343,0.9998353719711304,0.6130052804043149
0.8110691905021667,1.0,0.9982951879501343,0.9998353719711304,0.6086716228635755
0.809668779373169,1.0,0.9979298710823059,0.9998353719711304,0.6249036523038644
0.8112518191337585,1.0,0.9982951879501343,0.9998353719711304,0.5977951957228422
0.8116780519485474,1.0,0.9982951879501343,0.9998353719711304,0.6042204852346913
0.8198368549346924,1.0,0.9982951879501343,0.9998353719711304,0.5953841022511417
0.8087555170059204,1.0,0.9982951879501343,0.9998353719711304,0.6112946179200662
0.8152094483375549,1.0,0.9982951879501343,0.9998353719711304,0.6030266500065887
