Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,AVG_total_loss
0.49152737855911255,0.9023624658584595,0.7149173021316528,0.7739189267158508,3.4089716947392414
0.4983970820903778,0.9057292938232422,0.7028020620346069,0.7682786583900452,3.404620252941784
0.49719488620758057,0.9023054242134094,0.7093477249145508,0.7765302062034607,3.3949699495968066
0.4990268051624298,0.907498300075531,0.7072232365608215,0.767234206199646,3.362051357564173
0.49433252215385437,0.9105226993560791,0.7338079810142517,0.7678608894348145,3.3544140258117725
0.4963934123516083,0.9027048349380493,0.7079697251319885,0.7778357863426208,3.3919105729774426
0.49914130568504333,0.9093243479728699,0.709462583065033,0.776321291923523,3.3778722854821304
0.5005152225494385,0.9025336503982544,0.7104386687278748,0.7820659875869751,3.369368899025415
0.49673691391944885,0.9043026566505432,0.7075103521347046,0.7770524621009827,3.3773458760819937
0.49519121646881104,0.9047021269798279,0.728812575340271,0.7777835726737976,3.3322344277250138
