Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,AVG_total_loss
0.8585880398750305,1.0,0.9982243180274963,0.9998019933700562,0.5245007969420649
0.8571889996528625,1.0,0.9982781410217285,0.9998019933700562,0.5299795944455056
0.8400775194168091,1.0,0.9982781410217285,0.9998019933700562,0.5538410087679758
0.8445975184440613,1.0,0.9982243180274963,0.9998019933700562,0.5438708077402369
0.8459965586662292,1.0,0.9979552626609802,0.9998019933700562,0.5524767545162161
0.861332356929779,1.0,0.9982781410217285,0.9998019933700562,0.519507234239044
0.8465884923934937,1.0,0.9982781410217285,0.9998019933700562,0.5453634408446593
0.8631080985069275,1.0,0.9982781410217285,0.9998019933700562,0.520417494000867
0.8479337096214294,1.0,0.9982781410217285,0.9998019933700562,0.5392761099562784
0.8645609617233276,1.0,0.9982781410217285,0.9998019933700562,0.5245756097689369
