org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9968098402023315,0.7943428158760071,0.8341131210327148,0.5119098424911499,0.7526584267616272,0.6388770937919617,0.03998298570513725,0.009021493225273762,13.205599524758078,27.61707036573948,0.008819730952382088,13.251813888549805
0.9957464933395386,0.7941301465034485,0.8532539010047913,0.4489578902721405,0.7526584267616272,0.40684813261032104,0.03998298570513725,0.008030921093780886,5.634958592328158,20.650678580499847,0.008050073869526386,5.660769939422607
0.9968098402023315,0.8113568425178528,0.8536792993545532,0.8239046931266785,0.7526584267616272,0.8787750005722046,0.03998298570513725,0.006172325038774447,19.046503847295586,32.160074509256944,0.0059669725596904755,19.10921287536621
0.9972352385520935,0.8111441731452942,0.854317307472229,0.8390046954154968,0.7526584267616272,0.8991917967796326,0.03998298570513725,0.009602467021481558,15.739932320334695,28.600489730100062,0.009560640901327133,15.81616497039795
0.9968098402023315,0.7947681546211243,0.8536792993545532,0.5650786757469177,0.7526584267616272,0.7943428158760071,0.03998298570513725,0.0065761348232626915,12.554740298878063,26.294218933802437,0.0063251834362745285,12.615633964538574
0.9972352385520935,0.810718834400177,0.8351765275001526,0.824542760848999,0.7526584267616272,0.9157804846763611,0.03998298570513725,0.008670069912279194,21.949539271267977,35.06956596465104,0.008495774120092392,22.026948928833008
0.9938324093818665,0.7945554852485657,0.8547426462173462,0.8651637434959412,0.7526584267616272,0.8711186647415161,0.03998298570513725,0.00663800300522284,11.918147650631992,24.57582737369971,0.006490700878202915,11.933974266052246
0.9972352385520935,0.810718834400177,0.8339004516601562,0.9140791296958923,0.7526584267616272,0.8770735859870911,0.03998298570513725,0.007655789736996998,4.010850169441917,16.842124350876972,0.007515651173889637,4.017701148986816
0.9968098402023315,0.8132709264755249,0.8568693995475769,0.7960442304611206,0.7526584267616272,0.8898341059684753,0.03998298570513725,0.006299666764045303,26.61196517944336,39.544426930263974,0.006156515330076218,26.660470962524414
0.9968098402023315,0.7939174771308899,0.8351765275001526,0.863249659538269,0.7526584267616272,0.8728200793266296,0.03998298570513725,0.007564049722118812,4.17214374108748,16.948696845126424,0.007434521801769733,4.195528030395508
