org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.960268497467041,0.8046523332595825,0.8934252858161926,0.5379865765571594,0.7595347166061401,0.5574866533279419,0.038687970489263535,0.011459203944964842,0.5340338972481814,15.589811075478792,0.011332692578434944,0.5342057347297668
0.955167829990387,0.8149616122245789,0.879109263420105,0.5146308541297913,0.7584527730941772,0.5393048524856567,0.038687970489263535,0.006895307663150809,0.5139148993925615,15.769226182463832,0.006892446428537369,0.5141853094100952
0.939060389995575,0.8136399388313293,0.8934252858161926,0.5358389616012573,0.7584527730941772,0.5411764979362488,0.038687970489263535,0.006691926624625921,0.5931456034833734,15.831002265257252,0.006635480560362339,0.5932439565658569
0.9535570740699768,0.814697265625,0.8833510279655457,0.4899328947067261,0.7592642307281494,0.5521390438079834,0.038687970489263535,0.007381859701126814,0.5238851281729612,15.76320894388482,0.007226372137665749,0.5242548584938049
0.955167829990387,0.8088818192481995,0.8955461978912354,0.5259060263633728,0.7592642307281494,0.5548128485679626,0.038687970489263535,0.005763565190136433,0.5365536240014163,15.678300289183177,0.0056607844308018684,0.5372092127799988
0.9562416076660156,0.8154903054237366,0.8833510279655457,0.5983892679214478,0.7592642307281494,0.5665775537490845,0.038687970489263535,0.006179061845283617,0.5854838382114064,15.54416225312955,0.006067042704671621,0.5854642987251282
0.9728859066963196,0.8043879866600037,0.8846766352653503,0.5199999809265137,0.7584527730941772,0.531283438205719,0.038687970489263535,0.006059008142487569,0.5101539817723361,15.603513613258572,0.005935873370617628,0.5105165839195251
0.9543624520301819,0.8149616122245789,0.8981972932815552,0.4998657703399658,0.7598052024841309,0.5483957529067993,0.038687970489263535,0.008656971579925581,0.5424720319834623,15.791752917946063,0.008674181997776031,0.5431281924247742
0.9511409401893616,0.7919639945030212,0.8841463923454285,0.520268440246582,0.7595347166061401,0.5561497211456299,0.038687970489263535,0.006476928776299412,0.5195243602449243,15.68084379509938,0.006408380810171366,0.519681453704834
0.960268497467041,0.8038593530654907,0.8913043737411499,0.5237584114074707,0.7584527730941772,0.5417112112045288,0.038687970489263535,0.021963362328030846,0.5607078508897261,15.817670124159617,0.02173653617501259,0.5610710978507996
