Activity_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.919645369052887,0.9185474514961243,0.9788540601730347,0.006943616550415754,0.023100890307908968,0.5323864820945475,0.006973521318286657,0.02299686148762703
0.9249725341796875,0.9181407690048218,0.9794639945030212,0.009650899939948604,0.038451664859340304,0.5239350464461106,0.009682076051831245,0.03789360448718071
0.9274531006813049,0.9253385066986084,0.9840185046195984,0.012650439072222937,0.022845678208839326,0.4989165285868304,0.012649250216782093,0.022616058588027954
0.9204180240631104,0.9202553629875183,0.9805619716644287,0.0345387329303083,0.009775584075777303,0.5336785631786499,0.03454126790165901,0.009635582566261292
0.9263144731521606,0.9255011677742004,0.989508330821991,0.006877376276644922,0.01183645764277095,0.4900018457278964,0.006884380243718624,0.01169123686850071
0.923183262348175,0.9113496541976929,0.9788947105407715,0.007879455108195543,0.07675683179071971,0.6139844839815938,0.00788241345435381,0.07665543258190155
0.9261111617088318,0.9281037449836731,0.9879223704338074,0.005772194315102838,0.027843036378423374,0.48430853042130667,0.0058168889954686165,0.02777636982500553
0.9195234179496765,0.9211906790733337,0.9781220555305481,0.03145676842402844,0.02443599763015906,0.5363983464915127,0.031561437994241714,0.024303631857037544
0.9140742421150208,0.9210280179977417,0.9740961790084839,0.007800051609852484,0.014717668250557921,0.5088353528463769,0.00779169425368309,0.01449063140898943
0.9194827079772949,0.9251758456230164,0.9779187440872192,0.013532090266900403,0.033368684174049465,0.5445800495023528,0.013509816490113735,0.033244989812374115
