Activity_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.8849513530731201,0.8909266591072083,0.9527718424797058,0.021861325860733076,0.09210802650167829,0.984740237483666,0.02183638885617256,0.09031254053115845
0.8844938278198242,0.883313000202179,0.9521084427833557,0.024249784914510592,0.13991605029219673,1.0565166309298504,0.02430316060781479,0.13823361694812775
0.9049996137619019,0.9109914302825928,0.9593232870101929,0.020289288833737373,0.09824640587681815,0.8625393581709692,0.020286137238144875,0.09677682816982269
0.8906912803649902,0.8868885040283203,0.9582866430282593,0.025135551180158342,0.094747013988949,0.973908240951243,0.025156017392873764,0.09332951158285141
0.8964312672615051,0.898161768913269,0.9580378532409668,0.025753099293935867,0.09054671831074215,0.9197046334544817,0.025672616437077522,0.08885639905929565
0.878878653049469,0.8771715760231018,0.9546377658843994,0.02644083391697634,0.11713435784691856,1.0590955546746652,0.026523705571889877,0.11533904820680618
0.8950170278549194,0.9037984013557434,0.962142825126648,0.02169675025201979,0.10084096803551629,0.8982259826291175,0.021693097427487373,0.0990147590637207
0.891606330871582,0.890043318271637,0.9594476819038391,0.036696682551077435,0.09206393361091614,0.9611659140459129,0.03663700073957443,0.09039458632469177
0.8889027833938599,0.891431450843811,0.9568353891372681,0.022242245574792225,0.09111231920265016,0.9521798803692773,0.022244704887270927,0.08951372653245926
0.8872389793395996,0.8886131048202515,0.9595720767974854,0.023567372134753635,0.09342814698105767,0.9647294488691148,0.023569311946630478,0.09174886345863342
