Activity_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.9473434686660767,0.9486351013183594,0.9840264916419983,0.007394291349642333,0.02350645290598983,0.46683478814416696,0.007428550161421299,0.023322679102420807
0.952380895614624,0.9450615644454956,0.9840264916419983,0.012086551459062667,0.02780839046906857,0.4727993468266158,0.01210568007081747,0.027353640645742416
0.9533711671829224,0.9528976082801819,0.9864375591278076,0.0138405186700679,0.02135753436457543,0.42377526069148663,0.013783961534500122,0.021115809679031372
0.9471712708473206,0.9484198689460754,0.9848014712333679,0.03668028187184107,0.010578712515000786,0.4794192086860892,0.03670979291200638,0.010316649451851845
0.9538017511367798,0.9521656632423401,0.9896236658096313,0.007176599088346674,0.011058397502416656,0.4278730627016297,0.007191241253167391,0.010816616006195545
0.9481184482574463,0.9429948925971985,0.9829931855201721,0.007238428174917187,0.08308128125610806,0.5567822236612084,0.007262133527547121,0.08272051811218262
0.9523378610610962,0.9555239677429199,0.9882459044456482,0.005958207949463811,0.026039474599418185,0.40811530298863846,0.0059963734820485115,0.025927752256393433
0.9466976523399353,0.9525100588798523,0.981615424156189,0.033432915629375545,0.023264482528680845,0.4645363682260116,0.033478960394859314,0.023134499788284302
0.9401102066040039,0.9459657073020935,0.980926513671875,0.007429912220686674,0.014448641267205988,0.445999232187335,0.007441017311066389,0.014109387993812561
0.9492378830909729,0.9529836773872375,0.9807112216949463,0.013341312074945086,0.02996431601544221,0.4659125479381709,0.013325626030564308,0.029823454096913338
