Activity_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.8827376961708069,0.8878111243247986,0.9458519220352173,0.007207134760738839,0.015894300925234955,0.9605704143066847,0.007239115424454212,0.015746666118502617
0.8763880133628845,0.8835992217063904,0.9474473595619202,0.012650159631101858,0.06760584633974802,1.0168248217641598,0.012713942676782608,0.06750435382127762
0.8840778470039368,0.8797702789306641,0.9540204405784607,0.006193338228123528,0.03136495988638628,0.918886845754016,0.0062227193266153336,0.03133920580148697
0.8727824091911316,0.8903637528419495,0.9469048976898193,0.011189980654134637,0.019113213976933843,0.9491224642399521,0.011209359392523766,0.018990613520145416
0.8878430128097534,0.8895979523658752,0.9571155309677124,0.008608520762728793,0.021613811009696553,0.9083524147004244,0.008643419481813908,0.02153572253882885
0.8729100227355957,0.8750797510147095,0.9467772841453552,0.009049646512028716,0.012374737787814368,0.9943708365428305,0.009091421961784363,0.012218263931572437
0.8870453238487244,0.8984684348106384,0.9523292779922485,0.0076120477834982535,0.017196573050958768,0.8933565847886106,0.007663757540285587,0.01716248318552971
0.8818123936653137,0.8864709734916687,0.9497128129005432,0.01594634380723749,0.012554730022592204,0.9408071285468482,0.01598975993692875,0.01245978195220232
0.8782386779785156,0.8772814273834229,0.9557753801345825,0.007994215115017834,0.03835521567435492,0.9744421794256639,0.008011792786419392,0.03837740421295166
0.8792278170585632,0.8840459585189819,0.9462029337882996,0.008430767493943373,0.013253683446063882,0.9428068280574822,0.008442572318017483,0.01308573316782713
