org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.999697744846344,0.92684406042099,0.9857920408248901,0.8754534721374512,0.7518138289451599,0.9062877893447876,1.0,0.005920894274657423,0.04144076935269616,3.147734142924574,0.005805453285574913,0.041821062564849854
0.999697744846344,0.92684406042099,0.9863966703414917,0.8527811765670776,0.7515115141868591,0.8830109238624573,1.0,0.00622905164279721,0.02495893243361603,3.365918496327305,0.006082091946154833,0.025200320407748222
1.0,0.92684406042099,0.9857920408248901,0.8316203355789185,0.7518138289451599,0.8848246932029724,1.0,0.0062247898683629255,0.03701264597475529,3.556841669434851,0.006117503624409437,0.03725488856434822
0.999697744846344,0.92684406042099,0.9857920408248901,0.9183797240257263,0.7506046295166016,0.8839178085327148,1.0,0.0073155630803243684,0.03623328137804161,3.1590748841620306,0.0072933826595544815,0.036466896533966064
1.0,0.9313784837722778,0.9860943555831909,0.8824062943458557,0.7518138289451599,0.9422612190246582,1.0,0.006589322858913379,0.032186120240525765,3.1167700461281296,0.00648414995521307,0.03247629106044769
1.0,0.9313784837722778,0.9863966703414917,0.8890568614006042,0.7506046295166016,0.9056832194328308,1.0,0.006084591912275011,0.04215441796589981,3.255917819089849,0.00593742448836565,0.04243747144937515
0.999697744846344,0.9283555150032043,0.9860943555831909,0.8337364196777344,0.7521160840988159,0.8763603568077087,1.0,0.0250066647475416,0.03883282755586234,3.439386065372012,0.025252701714634895,0.03922400251030922
1.0,0.9298670291900635,0.9857920408248901,0.9087061882019043,0.7515115141868591,0.8948004841804504,1.0,0.0066469157622619105,0.034870019521225586,3.204497484765439,0.0065771909430623055,0.03512130677700043
1.0,0.9283555150032043,0.9863966703414917,0.8418984413146973,0.7533252835273743,0.9292623996734619,1.0,0.006289447446099736,0.03330428424206647,3.192945393627848,0.006258701905608177,0.033547595143318176
1.0,0.9313784837722778,0.9857920408248901,0.8651753664016724,0.7551390528678894,0.915054440498352,1.0,0.006061920642175458,0.04654172740199349,3.3174728777640583,0.005944452714174986,0.04670717194676399
