org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9992785453796387,0.9735450148582458,0.9913420081138611,0.939393937587738,0.7554112672805786,0.9639250040054321,1.0,0.006426410876553167,0.04501100934364579,2.319310524426824,0.006361817009747028,0.04515540227293968
0.99903804063797,0.9728235006332397,0.989658534526825,0.9155844449996948,0.7602213025093079,0.9535834789276123,1.0,0.006052349143746224,0.05467650632966648,2.3570693069539796,0.005953475367277861,0.05485605448484421
0.9995189905166626,0.972582995891571,0.9923040270805359,0.9425204396247864,0.7594997882843018,0.9528619647026062,1.0,0.005597520619630814,0.04434566673907367,2.3080757409016686,0.005489428993314505,0.044536080211400986
0.9995189905166626,0.9591149687767029,0.9908609986305237,0.930014431476593,0.7570948004722595,0.9535834789276123,1.0,0.005660096268084916,0.044095447794957596,2.4249278829242527,0.005485187284648418,0.04435115307569504
0.9995189905166626,0.9699375033378601,0.989658534526825,0.941077470779419,0.7556517720222473,0.9581529498100281,1.0,0.006402502979405902,0.05623523315245455,2.283677453662015,0.0062891836278140545,0.05675355717539787
0.9992785453796387,0.9696969985961914,0.9915825128555298,0.9336219429969788,0.7582972645759583,0.9526214599609375,1.0,0.005786453458395871,0.03994363935833627,2.330119876889512,0.005682408809661865,0.040287893265485764
0.9997594952583313,0.9684944748878479,0.9918230175971985,0.9403559565544128,0.755892276763916,0.957190990447998,1.0,0.005930833264508031,0.03587686389007352,2.3349568735681134,0.005798106547445059,0.0361526757478714
0.9992785453796387,0.9689754843711853,0.9911015033721924,0.9437229633331299,0.7582972645759583,0.9559884667396545,1.0,0.006417106667702848,0.050316927107897674,2.3575081863567573,0.006353327538818121,0.050819847732782364
0.9992785453796387,0.9701780080795288,0.990620493888855,0.9288119673728943,0.7544492483139038,0.9415584802627563,1.0,0.005760247649794275,0.12125545740127563,2.4876865652199327,0.005631121341139078,0.1216328889131546
0.9992785453796387,0.9696969985961914,0.9894180297851562,0.9446849822998047,0.7554112672805786,0.9523809552192688,1.0,0.005938511722805825,0.037537332624197006,2.3586056086086584,0.005816216114908457,0.03778023272752762
