org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9520732164382935,0.8196014761924744,0.8667204976081848,0.33306407928466797,0.752896785736084,0.30129238963127136,0.9189552664756775,0.006100231845101172,82.60700746016069,90.3063442347021,0.005898640025407076,81.02513885498047
0.9458804130554199,0.81637042760849,0.8675282597541809,0.5541195273399353,0.7534357309341431,0.5891222357749939,0.9189552664756775,0.006050518078898842,81.8182820406827,88.18761395506391,0.005966785363852978,80.15742492675781
0.9464188814163208,0.8002153635025024,0.8559504151344299,0.5118470191955566,0.752896785736084,0.5856219530105591,0.9189552664756775,0.02499402737752958,80.31558227539062,86.86440361917697,0.02525942586362362,78.68616485595703
0.9464188814163208,0.8131394386291504,0.8642972111701965,0.5239633321762085,0.752896785736084,0.5907377004623413,0.9189552664756775,0.008881207555532455,86.68325216119939,93.30402617529035,0.00889486726373434,85.0613784790039
0.95315021276474,0.8134086728096008,0.8653742074966431,0.5255788564682007,0.7531662583351135,0.5578890442848206,0.9189552664756775,0.007899176837368444,88.96958749944514,95.86591345562853,0.007859311997890472,87.39977264404297
0.9520732164382935,0.781906247138977,0.8691437244415283,0.428379088640213,0.752896785736084,0.5764673948287964,0.9189552664756775,0.00628128448839892,82.70529001409358,89.69326094271277,0.006205304060131311,81.06318664550781
0.9526116847991943,0.8074851632118225,0.8457188606262207,0.42784059047698975,0.752896785736084,0.5713515877723694,0.9038771986961365,0.006037592422217131,78.60370844060725,85.9562487245368,0.005856200587004423,76.87586212158203
0.9528809189796448,0.8174474835395813,0.8664512038230896,0.5363489389419556,0.752896785736084,0.5896607041358948,0.9189552664756775,0.00639757268469442,78.3980317549272,84.99980674438517,0.006234544329345226,76.64710235595703
0.9168012738227844,0.8107161521911621,0.8656434416770935,0.5753903985023499,0.752896785736084,0.46876680850982666,0.9189552664756775,0.007403106598014181,94.79539212313566,101.4600320530378,0.0072145359590649605,93.50749969482422
0.9523424506187439,0.8206784725189209,0.8683359622955322,0.5541195273399353,0.7537051439285278,0.5603123307228088,0.9189552664756775,0.005932475651868365,74.588435086337,81.10678257755089,0.005768264643847942,72.7573013305664
