log,excluded_feature,structural,pattern,target,target_kind,baseline_mean,variant_mean,delta,delta_pct,p_value,significant
bpi_2012_CZ,(case) AMOUNT_REQ,False,odd,Activity,categorical,0.9519116282463074,0.9559588015079499,-0.0040471732616425005,-0.42516270854874916,0.0039244598539516905,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,odd,org:resource,categorical,0.7735770046710968,0.7834194123744964,-0.009842407703399614,-1.272324234558178,0.006432114459668623,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,odd,concept:name,categorical,0.9522302269935607,0.9515714645385742,0.0006587624549865279,0.06918100647428646,0.6723409199160846,False
bpi_2012_CZ,(case) AMOUNT_REQ,False,odd,lifecycle:transition,categorical,0.9892404794692993,0.9903555989265442,-0.0011151194572449619,-0.11272481063888462,0.00202224788563571,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,odd,time:timestamp,numerical,0.012549880659207651,0.00743102151900525,-0.005118859140202402,-40.78811009606514,0.016594130467109162,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,even,Activity,categorical,0.9232320725917816,0.9270302057266235,-0.0037981331348418967,-0.41139527618223115,5.532903245389503e-05,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,even,org:resource,categorical,0.7940221965312958,0.8019356608390809,-0.007913464307785056,-0.996630112149913,0.004627904717712985,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,even,concept:name,categorical,0.9238786399364471,0.9248139560222626,-0.0009353160858154297,-0.10123798141710141,0.46500112493042967,False
bpi_2012_CZ,(case) AMOUNT_REQ,False,even,lifecycle:transition,categorical,0.9893456757068634,0.9907770931720734,-0.0014314174652100276,-0.14468324877321717,0.006344700505505409,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,even,time:timestamp,numerical,0.01188591755926604,0.00683484245091674,-0.0050510751083493,-42.49629936572777,0.01382694717884218,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,window,Activity,categorical,0.8937236666679382,0.9024154484272003,-0.008691781759262107,-0.9725357046510358,0.0011944626611365091,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,window,org:resource,categorical,0.7176387965679168,0.729534137248993,-0.011895340681076116,-1.6575665554823928,0.005591327491568551,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,window,concept:name,categorical,0.8882992923259735,0.8954020380973816,-0.0071027457714081255,-0.7995892637502717,0.006623392234320633,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,window,lifecycle:transition,categorical,0.9567485749721527,0.961758142709732,-0.0050095677375793235,-0.5236033654636102,0.0185608794334657,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,window,time:timestamp,numerical,0.012056107632815779,0.00855965800583357,-0.0034964496269822096,-29.001479859595385,0.017534348469751732,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,random,Activity,categorical,0.7723235368728638,0.7930924534797669,-0.020768916606903054,-2.689147179302129,8.428591727148703e-05,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,random,org:resource,categorical,0.6417310953140258,0.6548487424850464,-0.013117647171020597,-2.044103405118866,0.0002219412253705343,True
bpi_2012_CZ,(case) AMOUNT_REQ,False,random,concept:name,categorical,0.7926722764968872,0.8018739461898804,-0.009201669692993186,-1.160841619648763,0.0030957700506229887,True
