log,config,excluded_feature,pattern,run,attribute,attribute_kind,metric,value
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,0,org:resource,categorical,accuracy,0.9004027247428894
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,1,org:resource,categorical,accuracy,0.8915436267852783
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,2,org:resource,categorical,accuracy,0.899328887462616
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,3,org:resource,categorical,accuracy,0.9183892607688904
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,4,org:resource,categorical,accuracy,0.90442955493927
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,5,org:resource,categorical,accuracy,0.9020134210586548
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,6,org:resource,categorical,accuracy,0.8893960118293762
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,7,org:resource,categorical,accuracy,0.9017449617385864
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,8,org:resource,categorical,accuracy,0.8947651386260986
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,9,org:resource,categorical,accuracy,0.8918120861053467
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,0,org:role,categorical,accuracy,0.9103924036026
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,1,org:role,categorical,accuracy,0.9040297269821168
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,2,org:role,categorical,accuracy,0.910922646522522
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,3,org:role,categorical,accuracy,0.9053552746772766
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,4,org:role,categorical,accuracy,0.8928950428962708
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,5,org:role,categorical,accuracy,0.911983072757721
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,6,org:role,categorical,accuracy,0.908271551132202
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,7,org:role,categorical,accuracy,0.9143691062927246
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,8,org:role,categorical,accuracy,0.900848388671875
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,9,org:role,categorical,accuracy,0.8936904072761536
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,0,time:timestamp,numerical,mae,0.007608538493514
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,1,time:timestamp,numerical,mae,0.0077589736320078
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,2,time:timestamp,numerical,mae,0.0078190946951508
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,3,time:timestamp,numerical,mae,0.0080895517021417
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,4,time:timestamp,numerical,mae,0.00791722163558
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,5,time:timestamp,numerical,mae,0.008060778491199
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,6,time:timestamp,numerical,mae,0.0081598293036222
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,7,time:timestamp,numerical,mae,0.0077180997468531
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,8,time:timestamp,numerical,mae,0.0076539008878171
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,attr_level,9,time:timestamp,numerical,mae,0.0079946564510464
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,case:Activity,categorical,accuracy,1.0
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,case:OrganizationalEntity,categorical,accuracy,0.9463684558868408
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,case:OrganizationalEntity,categorical,accuracy,0.9381914734840392
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,case:OrganizationalEntity,categorical,accuracy,0.9430014491081238
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,case:OrganizationalEntity,categorical,accuracy,0.9485329389572144
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,case:OrganizationalEntity,categorical,accuracy,0.9430014491081238
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,case:OrganizationalEntity,categorical,accuracy,0.9432419538497924
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,case:OrganizationalEntity,categorical,accuracy,0.906926453113556
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,case:OrganizationalEntity,categorical,accuracy,0.9523809552192688
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,case:OrganizationalEntity,categorical,accuracy,0.9600769877433776
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,case:OrganizationalEntity,categorical,accuracy,0.9187109470367432
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,case:Project,categorical,accuracy,0.937710464000702
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,case:Project,categorical,accuracy,0.929052472114563
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,case:Project,categorical,accuracy,0.9119769334793092
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,case:Project,categorical,accuracy,0.9208754301071168
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,case:Project,categorical,accuracy,0.8484848737716675
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,case:Project,categorical,accuracy,0.8809524178504944
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,case:Project,categorical,accuracy,0.935064971446991
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,case:Project,categorical,accuracy,0.9389129281044006
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,case:Project,categorical,accuracy,0.884800374507904
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,case:Project,categorical,accuracy,0.8795093894004822
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,case:RequestedAmount,numerical,mae,0.07989402115345
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,case:RequestedAmount,numerical,mae,0.0829526335000991
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,case:RequestedAmount,numerical,mae,0.1995101869106292
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,case:RequestedAmount,numerical,mae,0.1027216762304306
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,case:RequestedAmount,numerical,mae,0.1163186356425285
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,case:RequestedAmount,numerical,mae,0.1307884752750396
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,case:RequestedAmount,numerical,mae,0.0897700861096382
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,case:RequestedAmount,numerical,mae,0.1672498881816864
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,case:RequestedAmount,numerical,mae,0.0730578750371933
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,case:RequestedAmount,numerical,mae,0.05922407284379
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,case:RfpNumber,categorical,accuracy,0.0447330437600612
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,6,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,7,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,8,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,9,case:Task,categorical,accuracy,0.7539682388305664
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,0,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,1,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,2,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,3,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,4,org:resource,categorical,accuracy,0.9995189905166626
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,even,5,org:resource,categorical,accuracy,0.9995189905166626
