log,excluded_feature,structural,pattern,delta_cat,delta_num,n_significant,n_targets
BPI20_RequestForPayment_CZ,time:timestamp,False,window,-6.380155682565725e-05,-0.01982350163161753,2.0,9.0
bpi_2012_CZ,(case) AMOUNT_REQ,False,attr_level,-0.018132352828979487,-0.010020649433136002,5.0,5.0
bpi_2012_CZ,(case) AMOUNT_REQ,False,even,-0.0035195827484131026,-0.0050510751083493,4.0,5.0
bpi_2012_CZ,(case) AMOUNT_REQ,False,odd,-0.003586484491825137,-0.005118859140202402,4.0,5.0
bpi_2012_CZ,(case) AMOUNT_REQ,False,random,-0.012477940320968633,-0.003646451234817511,5.0,5.0
bpi_2012_CZ,(case) AMOUNT_REQ,False,window,-0.008174858987331418,-0.0034964496269822096,5.0,5.0
bpi_2012_CZ,Activity,True,attr_level,0.12607729236284895,-0.012109211040660739,4.0,5.0
bpi_2012_CZ,Activity,True,even,0.10743225812911987,0.0004833997227251508,4.0,5.0
bpi_2012_CZ,Activity,True,odd,0.0986107508341471,-0.0019516518106684065,4.0,5.0
bpi_2012_CZ,Activity,True,random,0.06383333206176756,-0.0008203931152820617,4.0,5.0
bpi_2012_CZ,Activity,True,window,0.08296532630920406,-0.002060976834036394,4.0,5.0
bpi_2012_CZ,concept:name,False,attr_level,0.03279427289962774,-0.005917250737547886,4.0,5.0
bpi_2012_CZ,concept:name,False,even,0.001844855149586988,-0.0029427580302581165,1.0,5.0
bpi_2012_CZ,concept:name,False,odd,0.0021283666292826187,-0.0029410419985651873,0.0,5.0
bpi_2012_CZ,concept:name,False,random,-0.00063585837682086,-0.00366142564453185,0.0,5.0
bpi_2012_CZ,concept:name,False,window,0.0004573504130045425,0.0014648583717644364,0.0,5.0
bpi_2012_CZ,lifecycle:transition,False,attr_level,0.01729241808255518,-0.002645317092537876,2.0,5.0
bpi_2012_CZ,lifecycle:transition,False,even,0.0007726371288299857,0.002914949902333315,0.0,5.0
bpi_2012_CZ,lifecycle:transition,False,odd,0.0008438845475514286,0.003614559071138501,0.0,5.0
bpi_2012_CZ,lifecycle:transition,False,random,0.003432770570119222,-0.0016827578190714131,1.0,5.0
bpi_2012_CZ,lifecycle:transition,False,window,0.004924478133519483,-6.020928267388981e-05,2.0,5.0
bpi_2012_CZ,org:resource,False,attr_level,0.005186698834101426,-0.0008609508164227099,1.0,5.0
bpi_2012_CZ,org:resource,False,even,0.003979782263437907,0.0021565394243225526,1.0,5.0
bpi_2012_CZ,org:resource,False,odd,0.003422890106836903,0.001546820392832166,1.0,5.0
bpi_2012_CZ,org:resource,False,random,0.004145652055740394,0.001039498765021565,1.0,5.0
bpi_2012_CZ,org:resource,False,window,0.00766751368840531,-0.00028192060999570213,2.0,5.0
bpi_2012_CZ,time:timestamp,False,attr_level,-0.004568591713905307,-0.0035022631287574685,1.0,5.0
bpi_2012_CZ,time:timestamp,False,even,-0.0020657971501350514,-0.0004938919097185329,1.0,5.0
bpi_2012_CZ,time:timestamp,False,odd,-0.00197623074054723,-0.0010986221954226577,0.0,5.0
bpi_2012_CZ,time:timestamp,False,random,-0.004670168459415425,-0.0017561413347721294,1.0,5.0
bpi_2012_CZ,time:timestamp,False,window,-0.004193520545959478,-5.7103112339945694e-05,2.0,5.0
bpi_2013_CZ,Activity,True,attr_level,0.0426759043708444,-0.007349863089621076,5.0,11.0
bpi_2013_CZ,Activity,True,even,0.01888247601687908,-0.006296040490269685,5.0,11.0
bpi_2013_CZ,Activity,True,odd,0.02520688481628895,-0.004927240638062363,4.0,11.0
bpi_2013_CZ,Activity,True,random,0.012943537086248383,-0.007852047914639105,4.0,11.0
bpi_2013_CZ,Activity,True,window,0.021146789677441123,-0.005404224479571,4.0,11.0
bpi_2013_CZ,concept:name,False,attr_level,0.018406878039240848,-0.0017491385806351935,3.0,11.0
bpi_2013_CZ,concept:name,False,even,0.009668924063444124,-0.0026107045356184334,1.0,11.0
bpi_2013_CZ,concept:name,False,odd,0.009421694576740266,-0.0017736867535859124,2.0,11.0
bpi_2013_CZ,concept:name,False,random,0.0069416122883558164,-0.004231244372203954,1.0,11.0
bpi_2013_CZ,concept:name,False,window,0.0060840319842100175,-0.0024374387226999,1.0,11.0
