Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5665796399116516,0.05219780281186104,0.8015666007995605,0.6240208745002747,0.5587467551231384,0.5035971403121948,0.8120104670524597,0.1618037074804306,0.2480417788028717,0.7232376337051392,0.030190777964890003,23.64141080994159,0.03182631731033325
0.6057441234588623,0.03846153989434242,0.7963446378707886,0.644908607006073,0.5718016028404236,0.5323740839958191,0.8093994855880737,0.05305039882659912,0.22976501286029816,0.7232376337051392,0.021056770347058773,23.962591021321714,0.02191508561372757
0.6135770082473755,0.024725275114178658,0.7963446378707886,0.6292428374290466,0.5665796399116516,0.5011990666389465,0.8093994855880737,0.0663129985332489,0.1775456964969635,0.7441253662109375,0.03270496428012848,24.487053349614143,0.034554559737443924
0.5744125247001648,0.0357142873108387,0.7963446378707886,0.6292428374290466,0.5665796399116516,0.5083932876586914,0.6553524732589722,0.12732094526290894,0.208877295255661,0.7415143847465515,0.03416530601680279,24.013111604377627,0.035419292747974396
0.6161879897117615,0.04395604506134987,0.7963446378707886,0.6240208745002747,0.5796344876289368,0.5107913613319397,0.8067885041236877,0.12997347116470337,0.2114882469177246,0.7389034032821655,0.043582914397120476,23.920398263260722,0.04661272466182709
0.6135770082473755,0.04395604506134987,0.7963446378707886,0.6631854176521301,0.6109660863876343,0.5251798629760742,0.7754569053649902,0.14058354496955872,0.23498694598674774,0.7362924218177795,0.017871985211968422,23.57854945398867,0.018655866384506226
0.5953002572059631,0.041208792477846146,0.7963446378707886,0.644908607006073,0.584856390953064,0.5059952139854431,0.7284595370292664,0.037135276943445206,0.22715404629707336,0.7310705184936523,0.01881800778210163,24.34436103887856,0.018969008699059486
0.6135770082473755,0.04670329764485359,0.8093994855880737,0.6631854176521301,0.6083551049232483,0.515587568283081,0.7963446378707886,0.11936338990926743,0.2506527304649353,0.7310705184936523,0.020879563875496387,23.514707890339196,0.021778654307127
0.6083551049232483,0.05219780281186104,0.7859007716178894,0.6579634547233582,0.584856390953064,0.49880096316337585,0.7832898497581482,0.1246684342622757,0.23759791254997253,0.6840730905532837,0.0234270878136158,24.153826419264078,0.02429802529513836
0.6057441234588623,0.05219780281186104,0.7806788682937622,0.6605744361877441,0.6057441234588623,0.5107913613319397,0.8093994855880737,0.15915119647979736,0.2167101800441742,0.7389034032821655,0.020573814399540424,23.10415988136083,0.021312793716788292
