Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7589743733406067,0.08547008782625198,0.9379845261573792,0.8814015984535217,0.8191488981246948,0.633093535900116,0.8853332996368408,0.3074866235256195,0.35733333230018616,0.7698209881782532,0.020925726741552353,20.1761882789433,0.020201772451400757
0.800000011920929,0.12535612285137177,0.9147287011146545,0.9245283007621765,0.8244680762290955,0.6426858901977539,0.9039999842643738,0.29946523904800415,0.36266666650772095,0.7800511717796326,0.018201037775725126,19.687552101444453,0.01571105793118477
0.7538461685180664,0.045584045350551605,0.9043927788734436,0.878706157207489,0.8164893388748169,0.5851318836212158,0.8773333430290222,0.15508021414279938,0.23999999463558197,0.6930946111679077,0.010926385410130024,21.134105344302952,0.012080766260623932
0.7512820959091187,0.12250712513923645,0.9121447205543518,0.892183244228363,0.8244680762290955,0.6187050342559814,0.8853332996368408,0.31550803780555725,0.3786666691303253,0.7621483206748962,0.02797666285187006,19.400139638222754,0.02909771166741848
0.7820513248443604,0.09686609357595444,0.8578811883926392,0.8706199526786804,0.7632978558540344,0.5851318836212158,0.8880000114440918,0.259358286857605,0.335999995470047,0.7647058963775635,0.02908907551318407,20.227697742171586,0.024823952466249466
0.764102578163147,0.0655270665884018,0.9147287011146545,0.8760107755661011,0.7978723049163818,0.6235012412071228,0.8826666474342346,0.2647058963775635,0.31200000643730164,0.7519181370735168,0.014744153711944818,21.162810681853443,0.013282769359648228
0.7820513248443604,0.09116809070110321,0.8992248177528381,0.9137465953826904,0.8297871947288513,0.60671466588974,0.8933333158493042,0.28342247009277344,0.343999981880188,0.7774935960769653,0.03301386535167694,20.363754354417324,0.025751318782567978
0.7717949151992798,0.09971509873867035,0.881136953830719,0.9191374182701111,0.8377659320831299,0.5827338099479675,0.890666663646698,0.2085561603307724,0.21599999070167542,0.7621483206748962,0.02606691885739565,21.09942836780101,0.025903245434165
0.7435897588729858,0.10256410390138626,0.8966408371925354,0.8814015984535217,0.7952127456665039,0.6187050342559814,0.871999979019165,0.25401070713996887,0.3466666638851166,0.7442455291748047,0.015883631072938442,20.79467976745218,0.01453238632529974
0.7384615540504456,0.07407407462596893,0.8940568566322327,0.8867924213409424,0.7952127456665039,0.5635491609573364,0.871999979019165,0.29411765933036804,0.2693333327770233,0.7672634124755859,0.027696751058101654,20.501418456435204,0.027365131303668022
