Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7769231200218201,0.0655270665884018,0.9095607399940491,0.9056603312492371,0.8111701607704163,0.9021739363670349,0.6163069605827332,0.9013333320617676,0.25668448209762573,0.7621483206748962,0.025457853451371193,15.704976724460721,0.020726792514324188
0.7769231200218201,0.056980058550834656,0.9328165650367737,0.8814015984535217,0.813829779624939,0.8369565606117249,0.5827338099479675,0.9039999842643738,0.2085561603307724,0.7289002537727356,0.015949794556945562,17.113245928194374,0.014867431484162807
0.7846153974533081,0.08547008782625198,0.8992248177528381,0.9056603312492371,0.835106372833252,0.8288043737411499,0.5995203852653503,0.9039999842643738,0.2513369023799896,0.7774935960769653,0.02479749545454979,15.872224565595388,0.021071454510092735
0.7615385055541992,0.12820512056350708,0.9224806427955627,0.9110512137413025,0.8377659320831299,0.8885869979858398,0.577937662601471,0.8880000114440918,0.24331551790237427,0.7289002537727356,0.022570746019482613,16.411470169201493,0.019251765683293343
0.7794871926307678,0.0883190855383873,0.8888888955116272,0.8894878625869751,0.8111701607704163,0.8586956858634949,0.5755395889282227,0.871999979019165,0.23262032866477966,0.7493606209754944,0.01717234682291746,16.253340150229633,0.014870516024529934
0.7871795296669006,0.10256410390138626,0.930232584476471,0.9164420366287231,0.8271276354789734,0.8505434989929199,0.6019184589385986,0.890666663646698,0.26203209161758423,0.7544757127761841,0.02829523291438818,15.651426701806486,0.027197955176234245
0.764102578163147,0.11965811997652054,0.8914728760719299,0.9164420366287231,0.8590425252914429,0.85326087474823,0.5803357362747192,0.9120000004768372,0.2754010856151581,0.7749360799789429,0.013632017653435469,16.040321010630578,0.012862627394497395
0.7589743733406067,0.08547008782625198,0.8888888955116272,0.862533688545227,0.8085106015205383,0.8722826242446899,0.5755395889282227,0.8693333268165588,0.24598930776119232,0.7365728616714478,0.029912414960563183,16.165299612097442,0.027852704748511314
0.7923077344894409,0.11680911481380463,0.9121447205543518,0.9137465953826904,0.8404254913330078,0.8586956858634949,0.6426858901977539,0.8959999680519104,0.312834233045578,0.782608687877655,0.029312580823898315,14.999670572578907,0.022564709186553955
0.7897436022758484,0.13960114121437073,0.9121447205543518,0.8760107755661011,0.8164893388748169,0.883152186870575,0.5467625856399536,0.8986666798591614,0.2754010856151581,0.7289002537727356,0.012529605999588966,15.096142316237092,0.011827087961137295
