Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.71875,0.12285012006759644,1.0,0.7427884936332703,0.7163462042808533,0.951923131942749,0.8004385828971863,0.9687500596046448,0.3616504967212677,0.8677884936332703,0.023565292358398438,14.129317484563217,0.020987071096897125
0.7067307829856873,0.09090908616781235,1.0,0.7427884936332703,0.6947115659713745,0.9278846383094788,0.734649121761322,0.9639423489570618,0.3276699185371399,0.853365421295166,0.013419171329587698,14.981443506432697,0.011534071527421474
0.665865421295166,0.15233415365219116,1.0,0.7403846383094788,0.692307710647583,0.9302884936332703,0.7302631735801697,0.9687500596046448,0.35922330617904663,0.8509615659713745,0.01966186985373497,13.630854080896825,0.01898018643260002
0.7067307829856873,0.16707617044448853,1.0,0.7451923489570618,0.7115384936332703,0.9591346383094788,0.75,0.9687500596046448,0.4150485396385193,0.8605769276618958,0.01599824335426092,13.254882358014584,0.012359700165688992
0.7163462042808533,0.15724815428256989,1.0,0.7427884936332703,0.6995192766189575,0.9350962042808533,0.7631579041481018,0.9639423489570618,0.3300970792770386,0.8461538553237915,0.016961687244474888,13.525418711826205,0.016576942056417465
0.6754807829856873,0.15970516204833984,1.0,0.754807710647583,0.7043269276618958,0.9326923489570618,0.765350878238678,0.9687500596046448,0.38349515199661255,0.8365384936332703,0.030549725517630577,13.830604924354702,0.026589222252368927
0.7115384936332703,0.1818181723356247,1.0,0.7475962042808533,0.7211538553237915,0.9495192766189575,0.734649121761322,0.973557710647583,0.4417475759983063,0.8750000596046448,0.011222572065889835,13.487523254007101,0.010835460387170315
0.6995192766189575,0.11547911167144775,1.0,0.728365421295166,0.6778846383094788,0.9567307829856873,0.6951754689216614,0.9350962042808533,0.32281553745269775,0.8317307829856873,0.026725133880972862,14.219532074406743,0.02607269398868084
0.7067307829856873,0.1818181723356247,1.0,0.7355769276618958,0.6995192766189575,0.9567307829856873,0.7850877046585083,0.9711538553237915,0.4417475759983063,0.858173131942749,0.022842501290142536,12.896384918130934,0.019012276083230972
0.6995192766189575,0.18918918073177338,1.0,0.7259615659713745,0.6802884936332703,0.9615384936332703,0.6951754689216614,0.9687500596046448,0.40776699781417847,0.858173131942749,0.0108036482706666,12.650321426102892,0.009825124405324459
