Activity_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.528384268283844,1.0,0.5589519739151001,0.5305677056312561,0.9364035129547119,0.7180527448654175,0.971615731716156,0.28318583965301514,0.37991267442703247,0.7925764322280884,0.02948764991015196,14.46787382569164,0.029463497921824455
0.49563318490982056,1.0,0.5480349659919739,0.4912663698196411,0.9276315569877625,0.720081090927124,0.971615731716156,0.2898229956626892,0.41703057289123535,0.7882096171379089,0.029904027469456196,14.580343074165285,0.030314339324831963
0.49563318490982056,1.0,0.5458515286445618,0.5043668150901794,0.9342105388641357,0.6754563450813293,0.971615731716156,0.16150441765785217,0.36899563670158386,0.7620087265968323,0.038159795105457306,15.712855415418744,0.03864361718297005
0.510917067527771,1.0,0.5567685961723328,0.5218340754508972,0.9364035129547119,0.7322515249252319,0.971615731716156,0.2566371560096741,0.41484716534614563,0.7532750964164734,0.021493641659617424,14.588405087590218,0.021362895146012306
0.5262008905410767,1.0,0.5545851588249207,0.528384268283844,0.9232456088066101,0.6855983734130859,0.971615731716156,0.24778760969638824,0.4628821015357971,0.8100436925888062,0.027953756041824818,14.43631159607321,0.028674492612481117
0.5065502524375916,1.0,0.5589519739151001,0.5087336301803589,0.9078947305679321,0.7342799305915833,0.971615731716156,0.25,0.35807859897613525,0.7925764322280884,0.022018563002347946,15.011660282500088,0.02194824628531933
0.49344977736473083,1.0,0.5524017810821533,0.5196506381034851,0.9364035129547119,0.720081090927124,0.971615731716156,0.14823009073734283,0.3995633125305176,0.7860262393951416,0.024395069107413292,15.219615461304784,0.02461405098438263
0.5305677056312561,1.0,0.5589519739151001,0.5305677056312561,0.9078947305679321,0.7139959335327148,0.971615731716156,0.2544247806072235,0.3362445533275604,0.7641921639442444,0.03424573130905628,15.551942899823189,0.03488488495349884
0.5262008905410767,1.0,0.5458515286445618,0.5,0.9232456088066101,0.703853964805603,0.971615731716156,0.24778760969638824,0.4803493618965149,0.7751091718673706,0.03128747269511223,14.467796107754111,0.03172947093844414
0.5131004452705383,1.0,0.5589519739151001,0.5131004452705383,0.9100877046585083,0.7058823108673096,0.971615731716156,0.1349557489156723,0.2969432473182678,0.7729257941246033,0.02977022621780634,16.248808166012168,0.029754359275102615
