Activity_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6083551049232483,0.7963446378707886,0.6631854176521301,0.6161879897117615,0.8067885041236877,0.5035971403121948,0.8120104670524597,0.18037134408950806,0.22454307973384857,0.7362924218177795,0.022513262927532196,18.70202984660864,0.023334285244345665
0.5822454690933228,0.7963446378707886,0.6396867036819458,0.5718016028404236,0.704960823059082,0.5251798629760742,0.8120104670524597,0.16710874438285828,0.24020887911319733,0.7206266522407532,0.02214297465980053,18.617971478030086,0.023363228887319565
0.584856390953064,0.7963446378707886,0.6422976851463318,0.6031331419944763,0.6710183024406433,0.4556354880332947,0.8093994855880737,0.07427055388689041,0.23237597942352295,0.71279376745224,0.030281581915915012,19.249624081887305,0.03183499351143837
0.6031331419944763,0.8093994855880737,0.6579634547233582,0.584856390953064,0.8198433518409729,0.5371702909469604,0.8093994855880737,0.15119363367557526,0.24281984567642212,0.7154046893119812,0.015355302020907402,18.23012120835483,0.015717988833785057
0.6109660863876343,0.8093994855880737,0.6579634547233582,0.6109660863876343,0.6762402057647705,0.49640288949012756,0.8120104670524597,0.14323607087135315,0.27154046297073364,0.7493472695350647,0.021998207084834576,18.428545813076198,0.023156307637691498
0.6031331419944763,0.8093994855880737,0.6605744361877441,0.6031331419944763,0.7284595370292664,0.5251798629760742,0.8120104670524597,0.15649867057800293,0.2140992134809494,0.7284595370292664,0.016806630417704582,18.998597724363208,0.016986392438411713
0.5639686584472656,0.8093994855880737,0.6396867036819458,0.5770235061645508,0.8172323703765869,0.515587568283081,0.6684073209762573,0.08488063514232635,0.24020887911319733,0.7415143847465515,0.017666001804172993,18.80948526132852,0.018240129575133324
0.6135770082473755,0.7806788682937622,0.6605744361877441,0.6161879897117615,0.6866840720176697,0.513189435005188,0.772845983505249,0.14588859677314758,0.20104439556598663,0.7310705184936523,0.026616095565259457,18.966504662297666,0.02816132642328739
0.6083551049232483,0.7963446378707886,0.6240208745002747,0.5744125247001648,0.8172323703765869,0.513189435005188,0.7310705184936523,0.14058354496955872,0.2872062623500824,0.7441253662109375,0.02397758886218071,18.745819609612226,0.025247255340218544
0.5926892757415771,0.7963446378707886,0.6657963395118713,0.5926892757415771,0.6919060349464417,0.49880096316337585,0.8067885041236877,0.08222811669111252,0.20104439556598663,0.7258485555648804,0.021558760665357113,19.398761629126966,0.02258298359811306
