excluded_feature,test_type,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp,Activity_acc
Activity,odd,1.0,0.996632981300354,0.9998353719711304,0.0159566680667921,0.0890643276519289,0.0164327170699834,
Activity,even,1.0,0.9967014968395234,0.9998019933700562,0.0132060652758043,0.1126822054594461,0.0134192833676934,
Activity,random,0.9874985635280608,0.9468005001544952,0.9577558755874632,0.0162216207128949,0.542790920416653,0.0164126358926296,
Activity,window,1.0,0.9970036327838898,0.9998264908790588,0.0153598343812566,0.1129136893962583,0.015734439343214,
Activity,attr_level,0.988524293899536,0.9478755354881286,0.9610664308071136,0.019959697998619,0.5283515439503581,0.0203463766723871,
REPAIR_IN_TIME_5D,odd,,0.9982951879501344,0.9998353719711304,0.0149220547945189,0.6381666611683996,0.0153834386728703,0.8101863265037537
REPAIR_IN_TIME_5D,even,,0.9982781410217284,0.9998019933700562,0.0118771200399159,0.5547349164642295,0.0120732977986335,0.8533900380134583
REPAIR_IN_TIME_5D,random,,0.9395003974437712,0.9690385937690736,0.0154882019918755,1.4522014990883976,0.0156668242067098,0.6497091352939606
REPAIR_IN_TIME_5D,window,,0.997961002588272,0.9997223496437072,0.0144581196811295,0.9195498578513874,0.0148190927691757,0.7406241595745087
REPAIR_IN_TIME_5D,attr_level,,0.942650443315506,0.9590296745300292,0.0190722679382337,1.4699696940768168,0.0194452006369829,0.6509904146194458
DEVICETYPE,odd,1.0,,0.9998353719711304,0.014717729621579,0.5892442302678031,0.0151786449365317,0.8187408864498138
DEVICETYPE,even,1.0,,0.9998019933700562,0.0116070279042775,0.4972718115905177,0.0118053192272782,0.8602723002433776
DEVICETYPE,random,0.9840538322925568,,0.969235533475876,0.0152613119743029,1.1408240805312648,0.015443898923695,0.6524637818336487
DEVICETYPE,window,1.0,,0.9997440457344056,0.0143199702173373,0.84171823391072,0.0146830971352756,0.7466031789779664
DEVICETYPE,attr_level,0.9866982340812684,,0.960262167453766,0.0188880743336324,1.1668196446041723,0.0192623859271407,0.6557133257389068
org:resource,odd,1.0,0.9980881690979004,,0.0147367898187918,0.7164230283702063,0.0151969879865646,0.7662506103515625
org:resource,even,1.0,0.9980575144290924,,0.0116705654029685,0.6038362524940902,0.0118672317825257,0.832684051990509
org:resource,random,0.987612634897232,0.9405668914318084,,0.0153301794437299,1.452427600722417,0.0155083113349974,0.6153359234333038
org:resource,window,1.0,0.9978643417358398,,0.0143043390977637,0.9897263920340552,0.0146650415845215,0.6925711274147034
org:resource,attr_level,0.9888495743274688,0.9419499516487122,,0.0189156716713975,1.436345117218106,0.0192880533635616,0.616647607088089
time:timestamp,odd,1.0,0.9982525706291199,0.9998353719711304,,0.6047584665975974,,0.8118485271930694
time:timestamp,even,1.0,0.9982350885868072,0.9998019933700562,,0.5353808851221784,,0.852997225522995
time:timestamp,random,0.9855708837509155,0.9413767576217651,0.969121515750885,,1.4676851539406925,,0.6460932910442352
time:timestamp,window,1.0,0.9980070292949677,0.9997527241706848,,0.8946161496089955,,0.7422443449497222
time:timestamp,attr_level,0.9874058425426483,0.943172961473465,0.9595675766468048,,1.475260785021084,,0.6490096390247345
