org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.027586206793785095,1.0,0.5524017810821533,0.528384268283844,0.9100877046585083,0.6186612248420715,0.971615731716156,0.17699114978313446,0.2772925794124603,0.8034934401512146,0.027936807833611965,20.866501903161407,0.029880428686738014
0.06436781585216522,1.0,0.5524017810821533,0.5131004452705383,0.9078947305679321,0.6997971534729004,0.971615731716156,0.19911503791809082,0.3537117838859558,0.748908281326294,0.015115081332623959,20.781306276097894,0.015310527756810188
0.03218390792608261,1.0,0.5524017810821533,0.5305677056312561,0.9122806787490845,0.6673427820205688,0.971615731716156,0.19247788190841675,0.3122270703315735,0.7663755416870117,0.032204712741076946,21.32361972425133,0.03409085422754288
0.027586206793785095,1.0,0.5458515286445618,0.5327510833740234,0.8925438523292542,0.6186612248420715,0.971615731716156,0.18362832069396973,0.30786025524139404,0.748908281326294,0.019265208393335342,21.022185457870364,0.019979601725935936
0.08505746722221375,1.0,0.5524017810821533,0.5349345207214355,0.9100877046585083,0.5375253558158875,0.971615731716156,0.19911503791809082,0.3515283763408661,0.7685589790344238,0.019101128913462162,20.873560834676027,0.01994170993566513
0.0436781607568264,1.0,0.5524017810821533,0.528384268283844,0.9100877046585083,0.6612575650215149,0.971615731716156,0.1592920422554016,0.30786025524139404,0.7925764322280884,0.019104553386569023,21.44929515570402,0.019648069515824318
0.029885057359933853,1.0,0.5524017810821533,0.528384268283844,0.9100877046585083,0.6734279990196228,0.971615731716156,0.14601770043373108,0.2860262095928192,0.751091718673706,0.022987921722233295,21.109415887854993,0.024102361872792244
0.006896551698446274,1.0,0.5458515286445618,0.528384268283844,0.9078947305679321,0.6937119364738464,0.971615731716156,0.18362832069396973,0.2751091718673706,0.7925764322280884,0.023213711567223072,21.39102031197399,0.02446754276752472
0.03448275849223137,1.0,0.5524017810821533,0.528384268283844,0.9100877046585083,0.6896551847457886,0.971615731716156,0.12831857800483704,0.23144105076789856,0.7401747107505798,0.022667918354272842,21.862847396172583,0.02388305775821209
0.04827586188912392,1.0,0.5524017810821533,0.528384268283844,0.9122806787490845,0.6734279990196228,0.9541484713554382,0.15707965195178986,0.34716159105300903,0.7707423567771912,0.0185049157589674,21.292589144781232,0.019390113651752472
