org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.014742014929652214,0.8125000596046448,0.661057710647583,0.7427884936332703,0.6730769276618958,0.4736842215061188,0.795673131942749,0.13592232763767242,0.1899038553237915,0.7379807829856873,0.025821778923273087,23.70430264249444,0.026965070515871048
0.06633906811475754,0.8125000596046448,0.661057710647583,0.701923131942749,0.6730769276618958,0.515350878238678,0.795673131942749,0.1553398072719574,0.25,0.701923131942749,0.01571448380127549,23.8580378764309,0.015437178313732147
0.04668304696679115,0.8125000596046448,0.661057710647583,0.7427884936332703,0.822115421295166,0.4912280738353729,0.795673131942749,0.14805825054645538,0.25,0.723557710647583,0.028798598796129227,24.017176244407892,0.03016792982816696
0.03194103017449379,0.8125000596046448,0.661057710647583,0.7427884936332703,0.817307710647583,0.46710526943206787,0.795673131942749,0.13592232763767242,0.24038462340831757,0.728365421295166,0.017449267208576202,23.777115367352962,0.017798222601413727
0.06633906811475754,0.8125000596046448,0.661057710647583,0.7355769276618958,0.6754807829856873,0.4429824650287628,0.795673131942749,0.15776699781417847,0.20673078298568726,0.7355769276618958,0.017622044309973717,23.802400967106223,0.017934579402208328
0.022113021463155746,0.8125000596046448,0.661057710647583,0.7427884936332703,0.822115421295166,0.49561405181884766,0.795673131942749,0.11893203854560852,0.22836539149284363,0.7307692766189575,0.01797997485846281,24.113982404582202,0.018172649666666985
0.022113021463155746,0.8125000596046448,0.661057710647583,0.7427884936332703,0.6706730723381042,0.5131579041481018,0.795673131942749,0.1286407709121704,0.2163461595773697,0.7091346383094788,0.021163159050047398,24.147905581630766,0.021780574694275856
0.004914004821330309,0.8125000596046448,0.661057710647583,0.7427884936332703,0.6730769276618958,0.5372806787490845,0.795673131942749,0.15291261672973633,0.19951923191547394,0.7307692766189575,0.021468975581228733,24.103597053326666,0.02218085154891014
0.027027025818824768,0.8125000596046448,0.661057710647583,0.7427884936332703,0.8125000596046448,0.5263158082962036,0.795673131942749,0.09708738327026367,0.15625,0.6947115659713745,0.02049054019153118,24.35859356634319,0.02116210199892521
0.03439803421497345,0.8125000596046448,0.661057710647583,0.701923131942749,0.8245192766189575,0.530701756477356,0.786057710647583,0.1383495181798935,0.2836538553237915,0.723557710647583,0.017132092267274857,23.894360024482012,0.017457259818911552
