excluded_feature,test_type,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp,Activity_acc
Activity,odd,0.1174698762595653,1.0,0.7523668646812439,0.6914201319217682,0.9357988238334656,0.7461139738559723,0.9718935251235962,0.2857566744089126,0.4647929042577743,0.8665680527687073,0.0141046298667788,17.345133382361382,0.0130111851263791,
Activity,even,0.1285012267529964,1.0,0.7230769455432892,0.6802884757518768,0.9449519515037536,0.7559210598468781,0.9656250596046448,0.2825242698192596,0.4668269366025924,0.8757211863994598,0.014378190273419,17.454535448690876,0.0134067504666745,
Activity,random,0.0879120901226997,0.9535248279571532,0.7154047071933747,0.6454308152198791,0.8775456964969635,0.6836930751800537,0.92140993475914,0.2053050354123115,0.4054830372333526,0.812532651424408,0.0142437626142054,20.05164510090836,0.0133266143966466,
Activity,window,0.1036781605333089,1.0,0.7497816562652588,0.6803493499755859,0.953289484977722,0.7192697525024414,0.9694323241710664,0.2480088464915752,0.4545851588249207,0.840174674987793,0.0140199774410575,17.85212255846709,0.0128388588782399,
Activity,attr_level,0.0886039886623621,0.9149870991706848,0.6803234338760376,0.6095744431018829,0.8717391431331635,0.6107913792133332,0.9007999897003174,0.2021390423178672,0.4218666613101959,0.770076721906662,0.0143529903842136,20.34793973087799,0.0132581115700304,
org:resource,odd,,1.0,0.8278106570243835,0.7073964715003968,0.9411242723464964,0.7264248549938201,0.9736686646938324,0.3195845678448677,0.3955621361732483,0.8639053344726563,0.0200370895210653,13.02436051273835,0.0166741317138075,0.7017751574516297
org:resource,even,,1.0,0.7382211923599243,0.7036057949066162,0.9512019634246828,0.7232456266880035,0.9663461983203888,0.3419902965426445,0.3887019395828247,0.8687500298023224,0.0226263437885791,12.595580566173885,0.0186010181903839,0.6944711804389954
org:resource,random,,0.9422976672649384,0.7386423051357269,0.6530026257038116,0.8832898437976837,0.6505995392799377,0.9107049763202668,0.2684350073337554,0.3402088820934296,0.8164491057395935,0.0236679926514625,15.143871017917991,0.0199749187566339,0.6370757281780243
org:resource,window,,1.0,0.7895196676254272,0.7128821074962616,0.9565789580345154,0.7068965494632721,0.9655022025108336,0.3245575204491615,0.37947598695755,0.8340611457824707,0.0207549190381541,13.058234451920724,0.0165741741657257,0.6980349481105804
org:resource,attr_level,,0.897157633304596,0.8843665540218353,0.8071808218955994,0.8711956679821015,0.5697841823101044,0.8898666501045227,0.2304812863469124,0.3018666625022888,0.7562659800052642,0.0224909341428428,15.105859749624504,0.0193965196609497,0.761794900894165
impact,odd,0.1448795154690742,,0.8411242723464966,0.6878698348999024,0.936686396598816,0.736528480052948,0.967159789800644,0.3646884232759476,0.388461548089981,0.850000011920929,0.0189525805413722,19.39215286821127,0.0175346566364169,0.6769230902194977
impact,even,0.1437346383929252,,0.7401442706584931,0.7026442527770996,0.947836571931839,0.7469298303127289,0.962019270658493,0.3725728213787079,0.3850961714982986,0.8538461863994599,0.0193362107966095,18.583338736975566,0.0173810927197337,0.7002404212951661
impact,random,0.1085164859890937,,0.7456919193267822,0.6456919193267823,0.8642297863960267,0.6556355118751526,0.913577038049698,0.2793103396892548,0.3334203779697418,0.8117493629455567,0.0201454774010926,21.153193205641585,0.0184363484382629,0.6373368203639984
impact,window,0.1365517258644104,,0.7875546038150787,0.681877738237381,0.9471491277217864,0.7255577921867371,0.9574236035346984,0.3561946868896484,0.3764192193746566,0.8222707509994507,0.0192952262237668,19.04696490485221,0.0169710666872561,0.6731441140174865
impact,attr_level,0.0866096854209899,,0.8857142627239227,0.8018616676330567,0.8595108926296234,0.5841726779937744,0.8882666528224945,0.258556155860424,0.2951999932527542,0.7659846544265747,0.0223961422685533,21.498233292484656,0.0217301998287439,0.7492307960987091
concept:name,odd,0.1493975847959518,1.0,,0.7097633183002472,0.9414201319217682,0.7383419454097748,0.9713018000125884,0.3750741809606552,0.3798816591501236,0.8630177736282348,0.0175499785458669,18.8976950724551,0.0161647390108555,0.6822485268115998
concept:name,even,0.1692874670028686,1.0,,0.7024038732051849,0.9528846383094788,0.7425438642501831,0.9656250417232514,0.3890776723623276,0.3757211714982986,0.8670673429965973,0.0185694942716509,18.03267037908081,0.0170920864213258,0.6935096442699432
concept:name,random,0.1203296743333339,0.9443864345550536,,0.6574412703514099,0.8715404868125916,0.653717041015625,0.9154047131538392,0.2973474711179733,0.3289817243814468,0.8065274298191071,0.0186371242627501,20.64738968927413,0.0169474179390817,0.6454308271408081
concept:name,window,0.1466666653752327,1.0,,0.6962882161140442,0.9574561476707458,0.7184584081172943,0.961790406703949,0.375,0.3689956396818161,0.8336244702339173,0.0174903685227036,18.437436142354272,0.015805644635111,0.6709607064723968
concept:name,attr_level,0.0977207958698272,0.9144703030586244,,0.7510638117790223,0.8709239304065705,0.5824940204620361,0.8895999848842621,0.2748663142323494,0.294399993121624,0.769565224647522,0.0203611927339807,21.31773591360543,0.0188588360790163,0.7215384900569916
lifecycle:transition,odd,0.15753011107444764,1.0,0.8494083046913147,,0.9378698348999024,0.7290155231952667,0.9715976536273956,0.36023738980293274,0.39260355532169344,0.8532544434070587,0.019074982241727413,18.118303429780646,0.01619170722551644,0.6973372817039489
lifecycle:transition,even,0.16142505705356597,1.0,0.7365384936332703,,0.9480769574642182,0.7243421077728271,0.9668269574642181,0.37111651301383974,0.3776442468166351,0.8605769515037537,0.02104416163638234,17.603662283800077,0.01740297758951783,0.7019231021404266
lifecycle:transition,random,0.11730769500136376,0.9469973921775818,0.7537859082221985,,0.8741514444351196,0.6477218389511108,0.9099216938018799,0.28196286261081693,0.3289817273616791,0.8099216818809509,0.022484045149758457,20.12161449198611,0.019194102380424738,0.6446475386619568
lifecycle:transition,window,0.14390804693102838,0.9993449807167053,0.789301335811615,,0.9541666746139527,0.7111561715602874,0.9657205462455749,0.3517699122428894,0.37423581480979917,0.8264192342758179,0.019824408111162484,17.795467210398055,0.01622161059640348,0.6938864707946777
lifecycle:transition,attr_level,0.09686609655618668,0.9064599692821502,0.8072776079177857,,0.8676630616188049,0.5805755436420441,0.891733318567276,0.2561497375369072,0.30426666140556335,0.7618925869464874,0.02163468417711556,20.98727400866337,0.01837005978450179,0.7015384912490845
org:group,odd,0.14728915244340895,1.0,0.8467455863952636,0.707988166809082,,0.7689118921756745,0.9707100749015808,0.3771513313055038,0.40325444340705874,0.8562130331993103,0.02181983245536685,18.317138118640287,0.01798324827104807,0.6896449744701385
org:group,even,0.1560196503996849,1.0,0.7432692527770997,0.7033654153347015,,0.7618421077728271,0.961778873205185,0.39271844923496246,0.3995192438364029,0.8572115659713745,0.023133224854245783,17.806313413265162,0.018989928159862758,0.6978365659713746
org:group,random,0.11263736486434936,0.9485639870166779,0.7454308211803437,0.6509138524532319,,0.6930455803871155,0.9086162030696869,0.29814323335886,0.3402088820934296,0.8018276929855347,0.022257861215621233,20.33606624463573,0.019431564118713142,0.6310705065727233
org:group,window,0.1386206902563572,0.999563318490982,0.7746725022792816,0.6855895221233368,,0.7395537436008454,0.9613537311553955,0.3648230075836182,0.38799127042293546,0.8281659543514251,0.021740857604891063,18.074568913551047,0.017358639743179083,0.6711790561676025
org:group,attr_level,0.09088319092988968,0.9012920081615448,0.8924528062343597,0.8103723168373108,,0.6059952139854431,0.8850666522979737,0.2641711294651031,0.31626666337251663,0.7572889983654022,0.022452420834451915,20.45477747330442,0.02087501119822264,0.76461541056633
org:role,odd,0.14126505330204964,1.0,0.8417159914970398,0.6914201319217682,0.9446745634078979,,0.9704142272472381,0.3222551912069321,0.3633136123418808,0.8615384757518768,0.022847165027633308,18.497100738924928,0.02122346996329725,0.6834319651126861
org:role,even,0.15184274837374687,1.0,0.7430288851261139,0.6932692587375641,0.9492788910865784,,0.9649038910865784,0.3281553417444229,0.35961540043354034,0.8709134995937348,0.025219901208765806,17.80424882111838,0.02206677235662937,0.6927884876728058
