Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6706730723381042,0.12776412069797516,1.0,0.728365421295166,0.7043269276618958,0.942307710647583,0.7478070259094238,0.9615384936332703,0.3106796145439148,0.42067310214042664,0.017108908388763666,18.3522812849842,0.012700507417321205
0.7115384936332703,0.11056511104106903,1.0,0.7427884936332703,0.7067307829856873,0.951923131942749,0.7214912176132202,0.9663462042808533,0.2694174647331238,0.3365384638309479,0.02564463671296835,18.658086576499045,0.022424135357141495
0.6875,0.14742013812065125,1.0,0.733173131942749,0.7043269276618958,0.9326923489570618,0.6951754689216614,0.947115421295166,0.34708738327026367,0.411057710647583,0.029895958490669727,18.47161146067083,0.026928169652819633
0.7043269276618958,0.15479114651679993,1.0,0.7451923489570618,0.701923131942749,0.951923131942749,0.6995614171028137,0.9591346383094788,0.39077669382095337,0.379807710647583,0.022484765388071537,17.53623777325265,0.019004732370376587
0.71875,0.12039311975240707,1.0,0.7524038553237915,0.6947115659713745,0.9639423489570618,0.7368420958518982,0.9687500596046448,0.3203883469104767,0.4062500298023224,0.01463852496817708,18.232675042469054,0.009582641534507275
0.6875,0.174447163939476,1.0,0.7427884936332703,0.71875,0.9615384936332703,0.7894737124443054,0.9639423489570618,0.44417476654052734,0.3365384638309479,0.041256293654441833,17.627322930144146,0.03466550260782242
0.692307710647583,0.14496314525604248,1.0,0.733173131942749,0.7043269276618958,0.9134615659713745,0.7719298601150513,0.951923131942749,0.3519417643547058,0.3677884638309479,0.030525497160851955,18.194638162618503,0.02747967652976513
0.6995192766189575,0.17690417170524597,1.0,0.71875,0.6947115659713745,0.947115421295166,0.7697368264198303,0.9639423489570618,0.3786407709121704,0.41826924681663513,0.021534943021833897,17.58710367162712,0.016895856708288193
0.692307710647583,0.1621621549129486,1.0,0.7451923489570618,0.6995192766189575,0.947115421295166,0.7039473652839661,0.9687500596046448,0.44417476654052734,0.41826924681663513,0.019248096272349358,17.498550925171003,0.017984237521886826
0.6730769276618958,0.09090908616781235,1.0,0.7259615659713745,0.6899038553237915,0.9350962042808533,0.6710526347160339,0.9615384936332703,0.37621361017227173,0.3509615659713745,0.043503908440470695,19.529103907523677,0.03777642920613289
