Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.528384268283844,0.10114942491054535,1.0,0.5589519739151001,0.528384268283844,0.9385964870452881,0.7221094965934753,0.971615731716156,0.2345132678747177,0.43668124079704285,0.024126308970153332,19.343929258175194,0.024789627641439438
0.5174672603607178,0.07816091924905777,1.0,0.5589519739151001,0.5305677056312561,0.9100877046585083,0.7342799305915833,0.9213973879814148,0.09292035549879074,0.3908297121524811,0.038130806758999825,21.19816958438605,0.038300011307001114
0.5,0.08505746722221375,1.0,0.5480349659919739,0.4912663698196411,0.9254385828971863,0.7160243391990662,0.971615731716156,0.24336282908916473,0.3995633125305176,0.036737626418471336,20.09677455946803,0.03682331740856171
0.528384268283844,0.09195402264595032,1.0,0.5589519739151001,0.528384268283844,0.9100877046585083,0.7139959335327148,0.971615731716156,0.1747787594795227,0.38646289706230164,0.026548800989985466,20.55192554090172,0.02707376889884472
0.510917067527771,0.06436781585216522,1.0,0.5589519739151001,0.5087336301803589,0.9100877046585083,0.7119675278663635,0.971615731716156,0.20353981852531433,0.34716159105300903,0.025914077647030354,19.98936201259494,0.026128949597477913
0.528384268283844,0.11724138259887695,1.0,0.5589519739151001,0.5305677056312561,0.9364035129547119,0.726166307926178,0.971615731716156,0.2544247806072235,0.49563318490982056,0.03704213723540306,19.046304998919368,0.03815183788537979
0.510917067527771,0.0436781607568264,1.0,0.5589519739151001,0.5065502524375916,0.9078947305679321,0.7160243391990662,0.971615731716156,0.13716813921928406,0.31659388542175293,0.03161108028143644,20.716060927137733,0.032248787581920624
0.528384268283844,0.08965517580509186,1.0,0.5589519739151001,0.510917067527771,0.9276315569877625,0.7180527448654175,0.971615731716156,0.28318583965301514,0.41484716534614563,0.024251505732536316,19.449673830065876,0.02447446435689926
0.49563318490982056,0.11034482717514038,1.0,0.5589519739151001,0.4912663698196411,0.9188596606254578,0.7018255591392517,0.971615731716156,0.21681416034698486,0.38864630460739136,0.04845462180674076,19.88401678018272,0.05012200027704239
0.5240174531936646,0.0873563215136528,1.0,0.5524017810821533,0.5065502524375916,0.9100877046585083,0.7383366823196411,0.971615731716156,0.20353981852531433,0.43668124079704285,0.02859462145715952,20.17545193526894,0.0294257290661335
