Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7384615540504456,0.07692307978868484,0.9328165650367737,0.9299191236495972,0.8324467539787292,0.7989130616188049,0.5803357362747192,0.8746666312217712,0.1978609710931778,0.3733333349227905,0.030260492116212845,20.65482557937503,0.02648806944489479
0.7769231200218201,0.06837606430053711,0.9328165650367737,0.8975741267204285,0.8191488981246948,0.845108687877655,0.5491606593132019,0.8693333268165588,0.1871657818555832,0.2186666578054428,0.02503044344484806,20.48063931055367,0.021877259016036987
0.7589743733406067,0.09686609357595444,0.8682170510292053,0.8894878625869751,0.8271276354789734,0.845108687877655,0.5299760103225708,0.8799999952316284,0.22994652390480042,0.2853333353996277,0.02765115164220333,20.00762983225286,0.02600792981684208
0.7564103007316589,0.10256410390138626,0.8888888955116272,0.8760107755661011,0.8058510422706604,0.8505434989929199,0.5611510872840881,0.8826666474342346,0.28877004981040955,0.31200000643730164,0.025900647044181824,20.262273490428925,0.020885495468974113
0.7923077344894409,0.09116809070110321,0.9095607399940491,0.9110512137413025,0.8244680762290955,0.85597825050354,0.5443645119667053,0.8560000061988831,0.2245989292860031,0.343999981880188,0.019485908094793558,21.212408731225878,0.01391883846372366
0.7256410717964172,0.11396011710166931,0.9018087983131409,0.8840970396995544,0.8058510422706604,0.85326087474823,0.6378896832466125,0.8933333158493042,0.30481284856796265,0.2853333353996277,0.043414436280727386,20.317728362977505,0.036372024565935135
0.7179487347602844,0.10256410390138626,0.930232584476471,0.892183244228363,0.7792552709579468,0.7989130616188049,0.6019184589385986,0.8560000061988831,0.22727273404598236,0.2719999849796295,0.03434228803962469,20.04137776698917,0.029144708067178726
0.7487179636955261,0.09401709586381912,0.930232584476471,0.8814015984535217,0.8164893388748169,0.8614130616188049,0.6258993148803711,0.890666663646698,0.23262032866477966,0.30133333802223206,0.026035450398921967,19.41499800980091,0.023263927549123764
0.7487179636955261,0.08547008782625198,0.9405685067176819,0.8571428656578064,0.7792552709579468,0.8179348111152649,0.568345308303833,0.8986666798591614,0.3074866235256195,0.3386666774749756,0.02301857527345419,20.349902658723295,0.02133944258093834
0.7538461685180664,0.06267806142568588,0.9121447205543518,0.878706157207489,0.8058510422706604,0.85597825050354,0.5227817893028259,0.8693333268165588,0.26203209161758423,0.25066667795181274,0.046970563009381294,21.657490300014615,0.04052729904651642
