Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7139423489570618,0.15479114651679993,0.7475962042808533,0.7139423489570618,0.9495192766189575,0.7368420958518982,0.9567307829856873,0.3810679614543915,0.4447115659713745,0.8557692766189575,0.02215284388512373,17.586587171070278,0.019788408651947975
0.6995192766189575,0.1498771458864212,0.733173131942749,0.7043269276618958,0.9567307829856873,0.7368420958518982,0.9711538553237915,0.3980582654476166,0.348557710647583,0.8605769276618958,0.0170555985532701,17.998526552226394,0.015169613994657993
0.733173131942749,0.13513512909412384,0.7427884936332703,0.7043269276618958,0.9495192766189575,0.7719298601150513,0.9687500596046448,0.3980582654476166,0.4062500298023224,0.8725962042808533,0.0168253886513412,18.75390351517126,0.013514036312699318
0.7043269276618958,0.13513512909412384,0.754807710647583,0.6947115659713745,0.9495192766189575,0.7456140518188477,0.9615384936332703,0.41019418835639954,0.36057692766189575,0.8365384936332703,0.020497662015259266,18.75784029904753,0.020180387422442436
0.661057710647583,0.14496314525604248,0.728365421295166,0.7115384936332703,0.9615384936332703,0.7938596606254578,0.9687500596046448,0.35679611563682556,0.411057710647583,0.8245192766189575,0.019645879045128822,18.64408521167934,0.01793762855231762
0.6826923489570618,0.13513512909412384,0.7451923489570618,0.6995192766189575,0.9591346383094788,0.7543859481811523,0.9687500596046448,0.2742718458175659,0.38461539149284363,0.848557710647583,0.012473713140934706,18.526543091516942,0.010515744797885418
0.701923131942749,0.1695331633090973,0.733173131942749,0.6899038553237915,0.9543269872665405,0.7236841917037964,0.9687500596046448,0.40048542618751526,0.39663463830947876,0.8774038553237915,0.01229911670088768,18.83485185727477,0.010676397942006588
0.697115421295166,0.13513512909412384,0.7379807829856873,0.7067307829856873,0.9278846383094788,0.780701756477356,0.9759615659713745,0.3859223425388336,0.3509615659713745,0.826923131942749,0.01799528580158949,18.5669270073995,0.013685861602425575
0.697115421295166,0.14250613749027252,0.7451923489570618,0.7067307829856873,0.9447115659713745,0.6951754689216614,0.9615384936332703,0.33980584144592285,0.38461539149284363,0.8701923489570618,0.012199738062918186,19.327098638750613,0.011927549727261066
0.7115384936332703,0.13513512909412384,0.733173131942749,0.6947115659713745,0.9254807829856873,0.7302631735801697,0.9182692766189575,0.3810679614543915,0.36298078298568726,0.8653846383094788,0.04221688210964203,18.83702402561903,0.04041529819369316
