Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5744125247001648,0.024725275114178658,0.652741551399231,0.6083551049232483,0.650130569934845,0.49880096316337585,0.8120104670524597,0.06100795790553093,0.15404699742794037,0.7310705184936523,0.023587308824062347,25.316204987466335,0.0248205978423357
0.6135770082473755,0.021978022530674934,0.6579634547233582,0.6083551049232483,0.8067885041236877,0.5059952139854431,0.8146214485168457,0.06896551698446274,0.22715404629707336,0.7415143847465515,0.02642167080193758,24.59757045377046,0.028130458667874336
0.6109660863876343,0.05219780281186104,0.6605744361877441,0.6135770082473755,0.6422976851463318,0.5179856419563293,0.7780678868293762,0.07957559823989868,0.2167101800441742,0.7206266522407532,0.03040692675858736,24.849164162762463,0.031647227704524994
0.6031331419944763,0.030219780281186104,0.6579634547233582,0.5979112386703491,0.8041775822639465,0.5059952139854431,0.7806788682937622,0.058355435729026794,0.1801566630601883,0.7154046893119812,0.02725518774241209,24.899170140735805,0.02802528813481331
0.6135770082473755,0.03846153989434242,0.6422976851463318,0.5822454690933228,0.6762402057647705,0.5203837156295776,0.7754569053649902,0.07692307233810425,0.219321146607399,0.7232376337051392,0.029864123091101646,24.196272334083915,0.031208442524075508
0.5953002572059631,0.057692307978868484,0.6292428374290466,0.58746737241745,0.7206266522407532,0.4940048158168793,0.767624020576477,0.1326259970664978,0.22976501286029816,0.7493472695350647,0.026173739694058895,24.02071627881378,0.027692850679159164
0.5796344876289368,0.02747252769768238,0.652741551399231,0.5744125247001648,0.7624021172523499,0.5251798629760742,0.8120104670524597,0.07161803543567657,0.2480417788028717,0.7206266522407532,0.02684846706688404,24.273568900302052,0.0274590402841568
0.6135770082473755,0.0357142873108387,0.647519588470459,0.6135770082473755,0.7650130391120911,0.47482016682624817,0.7571801543235779,0.050397876650094986,0.19060052931308746,0.7310705184936523,0.026379440911114216,25.17598966229707,0.027827510610222816
0.6161879897117615,0.057692307978868484,0.652741551399231,0.5744125247001648,0.6710183024406433,0.5179856419563293,0.8120104670524597,0.13793103396892548,0.2480417788028717,0.7310705184936523,0.025396603159606457,24.658668803982437,0.026745231822133064
0.6031331419944763,0.016483517363667488,0.6240208745002747,0.5639686584472656,0.7336814999580383,0.5275779366493225,0.8093994855880737,0.08753315359354019,0.24020887911319733,0.7336814999580383,0.03769572824239731,24.6986046358943,0.03988151624798775
