Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6733613610267639,0.49785715341567993,0.6950840353965759,0.8616806864738464,0.014899500823091893,4.833171691257684,0.015023324638605118
0.6703781485557556,0.4911344647407532,0.6929411888122559,0.8596218824386597,0.013839859204987684,4.8794128041980525,0.01391549687832594
0.676134467124939,0.48941177129745483,0.6753361225128174,0.8651260733604431,0.017522215311016356,4.879474173876501,0.017591485753655434
0.677647054195404,0.5139495730400085,0.6955041885375977,0.8587815165519714,0.01637085744490226,4.828138219857855,0.016482705250382423
0.6754621863365173,0.5035714507102966,0.6877310872077942,0.860084056854248,0.013776028528809547,4.820212616895636,0.013877969235181808
0.6787394881248474,0.5186975002288818,0.6968487501144409,0.8652101159095764,0.013558361546269484,4.77096017560966,0.013665510341525078
0.6831092238426208,0.5002521276473999,0.6863865852355957,0.8644958138465881,0.01429558132908174,4.79415103700012,0.014360439032316208
0.6805882453918457,0.5234453678131104,0.6942857503890991,0.8626470565795898,0.014616398628623713,4.7469117585126135,0.014743597246706486
0.6763865351676941,0.521092414855957,0.6893697381019592,0.8636974692344666,0.018621670969185374,4.756914339516134,0.018719898536801338
0.6759663820266724,0.5302100777626038,0.7037815451622009,0.8573529720306396,0.014122204766387031,4.7444898170374685,0.014199236407876015
