Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.9265584945678711,0.7989915013313293,0.9226546287536621,0.9904436469078064,0.005652295425534248,1.6424505053354161,0.005686118733137846
0.9282664060592651,0.8051319718360901,0.9246472120285034,0.9912569522857666,0.006386861138577972,1.5901750083347517,0.006417642813175917
0.9281444549560547,0.8061485886573792,0.9283071160316467,0.9903216361999512,0.008466936293102446,1.5294461571833207,0.0084513695910573
0.9248098731040955,0.7988288402557373,0.9254198670387268,0.9904029965400696,0.005742366470041729,1.6335244886133642,0.0057755885645747185
0.9259891510009766,0.8012281060218811,0.9248098731040955,0.9905656576156616,0.006228647483069272,1.6086516260346841,0.006225247867405415
0.9288357496261597,0.8067178726196289,0.9248912334442139,0.9907689690589905,0.007862504948640154,1.5955943029950417,0.007881859317421913
0.9287137389183044,0.8023667335510254,0.9215160012245178,0.9911755919456482,0.006758189582753749,1.629792095250672,0.006790310610085726
0.9260298609733582,0.807205855846405,0.9209873676300049,0.9906469583511353,0.007326179760552588,1.5844001746071237,0.007385293021798134
0.9255825281143188,0.8011467456817627,0.9262738227844238,0.9910129308700562,0.0068886602253076575,1.6144203786028637,0.006884417496621609
0.9273717999458313,0.7915903925895691,0.9286324381828308,0.9911755919456482,0.006810561532065982,1.643665966444782,0.006850576493889093
